Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
emperatriz;;1,13;1,13;1,87;1,13;1,1
emplear;;1,5;1,6;2,67;1,2;1,13
empleo;;1,73;2,7;3,77;1,33;1,23
empresaria;;1,53;1,57;2,4;1,6;1,43
empresario;;1,43;1,57;1,77;1,6;1,47
enaltecer;;1,45;1,69;2,62;1,69;1,45
enamorado;;1,4;2,1;4,7;1,3;1,07
enamorar;;1,67;2,2;4,23;1,23;1,03
enano;;2,03;1,47;1,63;1,33;1,47
encadenado;;3,9;3,83;1,07;3,9;2,67
encaje;;1,21;1,34;2,31;1,21;1,17
encantador;;1,17;1,33;4,03;1,17;1,1
encantar;;1;1,14;4,39;1,03;1
encanto;;1,07;1;3,5;1,17;1,03
encargado;;1,3;1,5;1,77;1,5;1,2
enchufe;;1,3;2,07;1,27;1,33;1,23
encontrar;;1,57;1,7;3,77;1,2;1,23
encuentro;;1,6;2,17;3,6;1,4;1,2
endurecer;;1,53;1,7;1,57;1,53;1,5
enemigo;;2,37;2,53;1,2;3,73;2,8
energía;;1,07;1,48;3,55;1,52;1,03
enérgico;;1,1;1,17;4;1,57;1,07
enfadado;;2,7;2,27;1;3,9;1,53
enfadar;;3,13;2,83;1,03;4,37;1,93
enfado;;3,07;2,57;1,1;3,83;1,93
enfermar;;3,97;3,9;1;2,52;2
enfermedad;;4,14;3,96;1;2,93;2,43
enfermera;;1,37;1,93;2,87;1,23;1,17
enfermero;;2,07;2,4;2,1;1,37;1,63
enfermo;;4,23;3,23;1,03;2,1;1,7
enfriamiento;;2,87;2,27;1,33;1,6;1,4
enfurecer;;3;3,27;1,1;4,4;2
enfurecido;;2,5;3;1,03;4,17;1,37
engañado;;4,2;3;1,17;3,97;3,13
engañar;;3,93;2,73;1,03;3,9;3,07
engaño;;3,93;3,18;1;4,07;3,21
engatusar;;1,76;1,97;1,76;2,41;2,1
engordar;;3,2;2,8;1,33;2,97;2,48
engreído;;2;1,43;1,1;2,9;2,93
engrosar;;1,3;1,33;1,56;1,33;1,44
enigma;;1,27;2,37;2,13;1,43;1,17
enmienda;;1,41;1,41;1,77;1,36;1,27
enojo;;2,9;2,47;1;4,14;1,93
enredo;;1,77;1,8;1,07;1,87;1,73
enriquecedor;;1,03;1,3;4,47;1,07;1,03
enriquecer;;1,26;1,71;4;1,35;1,39
enroscar;;1,07;1,1;1,07;1;1,1
ensalada;;1,07;1,07;2,5;1,07;1,13
ensueño;;1,55;1,55;3,83;1,21;1,07
entender;;1,41;1,48;3,55;1,17;1,1
entero;;1,13;1,1;1,93;1,07;1,07
enterrador;;3,03;2,57;1,07;1,33;2,07
enterrar;;3,73;3,37;1,23;2,13;2,03
entierro;;4,77;3,63;1,13;3,03;1,6
entorno;;1,8;1,87;2,3;1,73;1,67
entrometido;;1,5;1,4;1,07;2,6;1,83
entusiasmado;;1,26;1,48;4,42;1,19;1,16
entusiasmar;;1,17;1,2;4,7;1,17;1,03
entusiasmo;;1,23;1,43;4,37;1,13;1,07
envenenar;;3,23;4,17;1,17;3,77;3,13
enviar;;1,47;1,63;2,47;1,3;1,23
envidioso;;2,41;2,07;1,11;3,26;3,3
episodio;;1,73;1,77;2,93;1,37;1,13
erección;;1;1,07;3,33;1;1,27
erizo;;1;1,38;2,55;1;1,03
erótico;;1,2;1,23;3,2;1,2;1,27
error;;2,97;2,53;1,13;3;1,33
eructo;;1,47;1,37;1,47;2;3,87
erudito;;1,18;1,45;3;1,36;1,41
esbozar;;1,25;1,18;2;1,11;1,18
escala;;1,17;1,33;1,3;1,3;1,2
escalera;;1,17;1,7;1,53;1,37;1,17
escaparate;;1,23;1,17;2,53;1,1;1,23
escarabajo;;1,17;2,07;1,33;1,33;2,97
escasez;;3,66;3;1,03;2,59;2,17
escándalo;;2,17;2,63;1,7;2,73;1,87
escena;;1,87;1,9;2,53;1,7;1,63
escenario;;1,2;1,83;2,93;1,2;1,03
escéptico;;1,86;1,83;1,72;2;1,79
esclavizar;;4,3;3,4;1;4,33;3,63
esclavo;;4,23;2,7;1,03;3,57;1,87
escoba;;1,03;1,07;1,23;1,1;1,4
esconder;;1,8;2,17;1,23;1,87;1,27
escopeta;;2,33;3,63;1,23;2,8;2,07
escorbuto;;2;2,63;1;1,38;3,19
escoria;;1,9;1,7;1,03;2,73;2,9
escorpión;;1,53;3,8;1,17;1,67;3,3
escote;;1,13;1,13;1,83;1,13;1,47
escritor;;1,97;1,3;2,57;1,33;1,1
escritora;;1,47;1,23;3,23;1,23;1,1
escudo;;1,73;1,9;1,8;1,7;1,23
escuela;;2,03;1,83;3,07;1,7;1,3
escultor;;1;1;2,57;1;1
escultora;;1,23;1,13;2,47;1,1;1,2
escupir;;1,53;1,43;1,03;2,9;4,47
escurridizo;;1,3;1,8;1,7;1,43;1,83
esfera;;1,27;1,33;1,67;1,23;1,17
esfuerzo;;1,27;1,8;3,5;1,4;1,03
espacial;;1,17;2,17;2,28;1,1;1
espacio;;1,6;2,2;2,4;1,17;1,13
espada;;2,17;3,5;1,3;2,93;1,57
espantar;;1,57;2,77;1,07;2,4;1,9
espanto;;2,33;3,37;1,27;2,37;2
espantoso;;2,27;3,43;1,07;2,1;2,57
esparadrapo;;1,37;1,33;1,03;1,2;1,83
esperanza;;1,27;1,17;4,3;1,1;1,03
esperanzado;;1,6;2,2;4;1,27;1,1
espeso;;1,5;1,43;1,23;1,27;2,2
espina;;1,43;1,83;1;1,57;1,83
espíritu;;1,73;2,8;1,7;1,37;1,3
espléndido;;1,3;1,17;4,13;1,1;1,03
espontáneo;;1,37;1,8;3,63;1,5;1,23
esposa;;1,45;1,45;2,83;1,24;1,14
esposo;;1,23;1,47;3,1;1,27;1,13
espuma;;1,07;1,07;1,67;1;1,13
esqueleto;;1,67;1,97;1,2;1,13;2,13
esquematizar;;1,1;1,14;1,52;1,07;1,07
esquilar;;1,52;1,34;1,45;1,17;1,38
esquina;;1,53;1,8;1,23;1,17;1,33
estabilidad;;1,43;1,6;3,57;1,03;1,13
estable;;1,4;1,37;2,97;1,3;1,3
estacionar;;1,17;1,38;1,79;1,31;1,1
estación;;1,9;1,24;2,21;1,07;1,03
estado;;1,93;2,07;1,57;2,3;1,9
estafa;;3,37;3,03;1;4,4;3,67
estafador;;2,77;2,93;1,07;4,43;3,6
estallar;;2,72;3,03;1,48;3,17;1,9
estallido;;1,7;3,3;1,47;2,07;1,37
estancado;;2,7;2,73;1,07;2,5;2,23
estantería;;1,13;1,13;1,6;1,2;1,23
estatua;;1,4;1,3;2;1,13;1,23
esterilidad;;3,43;2,87;1,13;2,2;1,3
esterilla;;1,14;1,1;2,14;1,1;1,48
estiércol;;1,2;1,13;1,23;1,17;4,37
estilista;;1,3;1,3;2,63;1,57;1,5
estilo;;1,17;1,1;2,8;1,17;1,3
estimulación;;1,37;1,53;3,17;1,53;1,53
estímulo;;1,67;1,87;2,43;1,63;1,57
estómago;;1,4;1,6;1,5;1,33;1,8
estrangular;;3,39;4,32;1,03;4,32;3,21
estrecho;;1,57;2,07;1,1;1,4;1,23
estrella;;1,17;1,2;2,87;1;1
estremecerse;;2,3;2,9;1,57;1,5;1,83
estrés;;2,77;3,2;1,17;3,07;2,2
estricto;;2,07;2,77;1,47;2,77;1,9
estuche;;1,13;1;1,3;1;1,1
estudiar;;1,83;1,93;2,59;1,38;1,41
estudioso;;1,7;1,7;2,8;1,37;1,2
estufa;;1,17;1,5;2,33;1;1
estúpido;;2,57;1,67;1,13;3,03;2,43
eternidad;;1,63;2,9;3,67;1,03;1,03
etiqueta;;2,1;1,87;1,87;2,57;2,27
euforia;;1,07;1,43;4,47;1,47;1,07
eufórico;;1,13;1,4;4,33;1,33;1
evolución;;1,6;2,3;3,3;1,4;1,27
exagerar;;1,53;1,47;1,53;2;1,53
excelencia;;1,33;1,8;3,7;1,3;1,23
exceso;;2,2;2,17;1,87;1,63;1,77
excitado;;1,1;1,7;3,63;1,63;1,27
excitar;;1,4;1,53;4,2;1,53;1,27
exclusión;;3,97;3,3;1,03;3,5;2,63
excursión;;1;1,48;4,13;1;1,03
excusa;;1,93;1,63;1,4;2,57;1,53
exhibición;;1,2;1,53;2,83;1,07;1,27
exigencia;;1,83;2,3;1,97;2,7;1,97
exilio;;3,83;3,27;1,07;3;2,03
exitoso;;1,17;1,8;4,4;1,2;1,23
explicar;;1,2;1,47;2,67;1,23;1,2
explosión;;3,07;4,3;1,57;3,23;2,07
explosivo;;2,55;3,93;1,53;3,03;2,24
explotación;;3,3;2,77;1,23;3,5;3
explotador;;3,3;3,03;1,27;3,93;3,77
expresar;;1,77;2,23;3,43;1,63;1,7
exquisito;;1,03;1,07;3,6;1,13;1,2
extenso;;1,68;1,77;2;1,45;1,42
exterior;;1,2;1,57;3,7;1,17;1,2
exterminar;;3,43;3,63;1,23;3,13;2,93
externalizar;;1,82;2,14;2,21;1,71;1,64
extinción;;3,9;3,67;1;3,27;2,47
extrañeza;;3,07;2,83;1,43;2;1,87
extraordinario;;1,17;1,23;4,13;1,13;1,1
extraterrestre;;1,23;2,93;1,6;1,37;1,87
época;;2,2;1,67;2,07;1,5;1,37
ética;;1,7;1,87;2,83;1,7;1,77
éxito;;1,3;2,43;4,43;1,33;1,13
éxtasis;;1,37;1,77;3,67;1,57;1,27
facha;;2,47;1,7;1,13;3,03;3,23
facilidad;;1,37;1,87;3,33;1,33;1,37
facultad;;1,6;2;3,07;1,43;1,5
faisán;;1,46;1,86;1,96;1,21;1,36
faja;;1,33;1,33;1,4;1,17;1,4
falda;;1,23;1,57;3;1,2;1,27
fallecer;;4,7;4,07;1;3,13;1,8
falsear;;2,87;2,17;1,03;3,37;2,57
FALSO;;3,1;2,27;1;3,1;2,8
fama;;1,43;2,13;3,17;1,4;1,73
famélico;;3,38;2,35;1,31;2;2,19
familia;;1,9;1,47;4,3;1,3;1,13
famosa;;1,73;2,1;2,43;1,7;1,7
famoso;;1,53;1,3;2,33;1,67;1,43
fantasía;;1,5;1,63;3,97;1,27;1,17
fantasma;;1,83;4,2;1,07;1,38;1,24
fantástico;;1,03;1,21;4,45;1;1
farmacéutica;;1,2;1,9;1,7;1,57;1,47
faro;;1,53;1,6;2,27;1,13;1,17
farol;;1,87;1,7;1,47;2,2;1,73
farsa;;3,52;2,31;1,14;3,86;3,07
fascinación;;1,27;1,33;3,33;1,1;1,03
fascinante;;1,1;1,23;3,87;1,03;1,07
fascinar;;1,1;1,7;3,97;1,13;1,1
fase;;1,66;1,9;1,93;1,45;1,24
fastidiar;;2,23;1,63;1,03;3,67;2,1
fatalidad;;3,9;3,37;1;2,67;1,3
fatigado;;2,37;1,4;1,07;1,87;1,4
favor;;1,21;1,29;3;1,21;1,11
favorito;;1,27;1,23;3,83;1,3;1,23
faz;;1;1,05;1,4;1,05;1
fábrica;;1,47;1,33;1,53;1,23;1,67
fácil;;1,17;1,47;3,1;1,2;1,17
fealdad;;2,07;1,45;1,21;1,55;1,9
fe;;1,43;1,93;2,77;1,2;1,17
fecha;;1,93;1,9;2,3;1,6;1,23
fecundo;;1,58;1,69;3,04;1,35;1,35
felicidad;;1,07;1,07;4,93;1,07;1
felicitar;;1,07;1,17;4,57;1,1;1,13
feliz;;1,1;1,2;4,63;1;1
felpudo;;1,13;1,13;1,73;1,13;2
feo;;2,27;1,3;1,1;1,43;1,73
ferrocarril;;1,34;1,45;2;1;1
festejar;;1,17;1,38;4,79;1,14;1,17
festivo;;1;1,1;4,83;1,07;1
fétido;;1,57;2,03;1,07;2;4,43
fiebre;;2,93;2,43;1;1,87;1,53
fiel;;1,33;1,63;3,93;1,27;1,17
fiesta;;1,14;1,28;4,69;1,07;1,07
figura;;1,4;1,5;1,67;1,33;1,23
figurar;;1,21;1,34;1,48;1,38;1,21
filosofía;;1,5;1,43;2,47;1,23;1,33
fino;;1,27;1,13;1,7;1,17;1,23
firma;;1,23;1,83;2,27;1,43;1,23
firmamento;;1,53;1,8;2,77;1,3;1,1
firme;;1,47;1,8;2,17;1,37;1,43
flamenco;;1,43;1,33;2,9;1,23;1,33
flecha;;1,87;3,27;1,43;2,17;1,47
flemón;;1,86;1,83;1;1,72;4,1
flexible;;1,1;1,17;2,63;1,1;1,23
flirtear;;1,21;1,62;3,69;1,21;1,28
flor;;1,43;1,17;3,87;1,1;1,13
florecer;;1,17;1,17;4,03;1,13;1,17
foca;;1,23;1,23;3,23;1;1,23
foco;;1,13;1,5;1,7;1,13;1,07
fofo;;1,6;1,13;1,57;1,1;1,63
folleto;;1,13;1,13;1,23;1,23;1,17
follón;;2,03;2,97;1,3;2,7;1,67
fontanero;;1,13;1;1,23;1,13;1,27
forastero;;1,27;1,4;1,83;1,23;1
forma;;1,5;1,53;1,73;1,47;1,5
formal;;1,5;1,4;2,07;1,17;1,2
fortaleza;;1,2;1,67;3,17;1,63;1,23
fortuito;;1,24;1,83;2,69;1,24;1,03
fortuna;;1,14;1,3;4,43;1,17;1,24
fotografía;;2,2;1,7;3,47;1,7;1,5
fotógrafa;;1,2;1,13;2,77;1,13;1,1
fotógrafo;;1,17;1,2;2,87;1,2;1,23
fracasado;;4,43;3,13;1;2,87;1,77
fracaso;;3,9;3,3;1,03;3,3;1,53
fracción;;1,52;1,34;1,28;1,24;1,31
fragancia;;1,33;1,03;3;1,1;1,33
fragilidad;;3,07;3,43;1,17;1,83;1,57
frase;;1,57;1,5;1,77;1,4;1,37
fraternidad;;1,1;1,1;4,07;1,07;1,03
fraude;;3,5;2,6;1,03;4,37;3,4
fregona;;1,33;1;1,3;1,13;2,17
fresco;;1,23;1,13;3;1,23;1,13
frialdad;;2,7;2,13;1,23;2;2,07
frío;;2,63;1,57;1,33;1,37;1,33
frondoso;;1,23;1,93;2,4;1,17;1,37
frustración;;3,87;3,43;1,07;3,7;2,27
frustrado;;3,03;2,07;1,13;3,07;1,43
fruto;;1,17;1,13;3;1,03;1,17
fuego;;1,97;3,87;1,8;2,1;1,43
fuerte;;1,13;1,6;2,4;1,37;1,07
fuerza;;1,23;1,93;3,17;1,63;1,17
fugitivo;;1,93;3,3;1,2;2,2;1,7
función;;1,53;1,63;2,1;1,53;1,5
funeral;;4,53;3,07;1,1;2,07;1,5
funeraria;;4,47;2,67;1,07;1,97;1,87
furcia;;2,73;1,63;1,1;2,3;2,5
furgoneta;;1,53;1,83;2,1;1,4;1,6
furia;;2,77;3;1,03;4,33;2,53
fusil;;3;3,86;1,07;3,45;2,9
fusilar;;4,59;4,66;1,03;4,52;3,66
futbolista;;1,63;1,33;2,67;2,13;1,8
futuro;;1,87;2,9;3,47;1,63;1,4
fútbol;;1,37;1,27;2,77;2,1;1,43
gabardina;;1,23;1,23;1,73;1,03;1,13
gacela;;1,2;1,4;2,33;1,27;1,03
gafas;;1,43;1,1;1,63;1,23;1,13
galardón;;1,31;1,45;4;1,38;1,28
gallina;;1,3;2,17;1,6;1,37;2,07
gamberro;;2,37;2,3;1,37;3,03;2,1
ganado;;1,67;1,63;2,53;1,53;1,57
ganador;;1,17;1,3;4,43;1,07;1,13
ganadora;;1,4;1,5;4,1;1,4;1,2
ganancias;;1,17;1,27;3,97;1,2;1,1
ganar;;1,17;1,33;4,2;1,23;1
gangrena;;3,39;3,79;1,04;2,29;3,86
ganso;;1,13;1,67;1,67;1,1;1,27
garfio;;1,77;2,27;1,33;1,43;1,23
garganta;;1,33;1,87;1,43;1,43;1,97
garrapata;;1,67;3,03;1,07;1,9;4,17
garrote;;1,7;2,2;1;1,93;1,6
garza;;1,03;1,34;2,17;1;1,34
gasto;;2,43;2,43;1,5;2;1,7
gatito;;1,27;1,33;3,83;1,17;1,27
gato;;1,23;1,57;3,37;1,13;1,3
gaviota;;1,33;2,2;1,93;1,77;2,87
gemido;;1,6;1,7;2,9;1,5;1,6
generador;;1,3;1,4;1,57;1,33;1,27
generoso;;1,17;1,37;4,23;1,13;1
genial;;1,03;1,17;4,47;1,03;1
genialidad;;1,13;1,23;3,87;1,17;1,13
genio;;1,13;1,4;3,47;1,27;1,13
gente;;1,73;1,87;3,1;1,8;1,83
genuino;;1,22;1,26;3,41;1,11;1,15
gerente;;1,53;1,93;1,57;1,6;1,67
gestión;;1,41;1,62;1,34;1,38;1,55
gélido;;1,93;1,81;1,33;1,26;1,11
género;;1,47;1,37;1,47;1,43;1,3
gérmenes;;1,9;3,37;1,03;1,9;4,13
gimnasio;;1,37;1,6;2,9;1,63;1,47
gimnasta;;1,2;1,47;2,63;1,2;1,13
giratorio;;1,1;1,81;1,71;1,29;1,19
giro;;1,23;1,63;1,8;1,17;1,27
glaciar;;1,73;1,8;2,17;1,37;1,17
glamour;;1,27;1,4;3,03;1,3;1,63
globo;;1,17;1,37;3,4;1,07;1
gloria;;1,17;1,33;3,9;1,1;1
gobernador;;2,4;2,47;1,33;2,73;2,23
goce;;1,2;1,33;4,53;1,1;1,1
golfista;;1;1,07;1,21;1,25;1,18
golfo;;1,7;1,63;1,63;1,83;2,03
golondrina;;1,5;1,43;3,03;1,03;1,4
golpe;;2,5;2,77;1,1;3,03;1,57
golpear;;2,87;3,3;1,07;4,13;2,53
goma;;1,07;1,07;1,23;1,1;1,13
gordo;;2,17;1,3;1,43;1,33;1,43
gordura;;2,57;2,13;1,3;1,93;2,13
gorila;;1,3;2,83;2,5;1,37;1,3
gorra;;1;1;1,77;1;1,1
gorrión;;1,23;1,47;3,1;1,2;1,17
gorro;;1,17;1,17;2,17;1,23;1,27
gota;;1,7;1,2;1,63;1,37;1,3
gozar;;1,4;1,47;4,3;1,57;1,37
gozoso;;1,1;1,3;4,5;1,07;1
góndola;;1,27;1,17;3;1,03;1,13
gracia;;1,07;1;4,2;1,2;1,13
grado;;1,4;1,9;2,2;1,4;1,4
graduada;;1,1;1,6;4,93;1;1
graduado;;1,63;2,27;4,67;1,07;1,03
granada;;2,72;3,17;1,69;2,59;1,79
grandioso;;1,13;1,83;3,87;1,07;1,03
granja;;1,3;1,23;2,67;1,2;1,73
granjero;;1,23;1,07;2,2;1,07;1,37
grano;;1,93;1,7;1,07;2;3,13
grapadora;;1,03;1,2;1,13;1;1
grasa;;1,77;1,7;1,1;1,79;3,2
gratis;;1,07;1,2;4,33;1,13;1,07
grave;;4;4,13;1,1;2,8;1,63
gráfico;;1,27;1,37;1,4;1,17;1,27
grieta;;1,9;2,63;1,07;1,8;1,53
grillo;;1,2;1,5;2,03;1,2;2,23
grito;;2,27;3,37;2,17;2,97;1,5
grosero;;2,3;2,1;1,1;3,4;3,3
grueso;;1,47;1,5;1,3;1,37;1,53
guadaña;;2,04;3,2;1,16;1,56;1,44
guante;;1,23;1,2;1,87;1,13;1,37
guantes;;1,13;1,07;2;1,1;1,43
guapa;;1,17;1,2;4;1,17;1,13
guapo;;1,13;1,27;3,77;1,17;1,07
guardaespaldas;;1,43;2,17;1,27;1,6;1,27
guardería;;1,27;1,3;3,53;1,13;1,17
guardia;;1,37;1,87;1,57;1,8;1,67
guardián;;1,27;1,73;2,27;1,4;1,13
guerra;;4,43;4,37;1,13;4,37;3,03
guerrero;;2,2;2,83;2;2,9;1,7
guillotina;;3,66;4,14;1,1;3,45;2,66
guiño;;1,13;1,17;3,2;1,27;1,4
guión;;1,47;1,73;2,87;1,5;1,13
gusano;;1,5;2,33;1,4;1,53;3,8
gustar;;1,17;1,6;4,43;1,2;1,17
habilidad;;1,33;1,57;3,47;1,27;1,07
habitación;;1,53;1,4;2,67;1,27;1,2
habitante;;1,27;1,37;2;1,23;1,23
hacha;;1,47;2,97;1,47;2,33;1,5
hacienda;;2,58;2,94;1,45;2,94;2,68
hacinamiento;;3,38;3,08;1,5;3,42;3,38
hada;;1,43;1,53;3,17;1,17;1,07
halagador;;1,13;1,24;3,83;1,1;1,3
halcón;;1,2;2,6;2,23;1,2;1,4
hallar;;1,31;1,53;3,34;1,21;1,31
hallazgo;;1,34;1,72;3,62;1,21;1,21
hamaca;;1,17;1,13;3,93;1;1,03
hambre;;3,4;2,63;1,23;3,07;1,87
hambriento;;3,17;1,93;1,2;2,57;1,2
hamburguesa;;1,23;1,33;3,57;1,13;1,43
harto;;1,9;1,47;1,07;2,57;1,7
hastío;;1,76;1,53;1,06;1,35;1,71
hábito;;1,47;1,3;1,7;1,13;1,13
hámster;;1,23;1,57;2,6;1,27;1,9
hechicero;;1,3;2;2,13;1,4;1,4
hecho;;1,4;1,57;2,4;1,47;1,4
hedor;;1,38;1,62;1,15;1,81;4,04
helado;;1,4;1,33;3,23;1,07;1,13
heno;;1,3;1,09;1,09;1,09;1,35
heridas;;3,03;2,67;1,13;1,93;2,13
herido;;3,9;3,13;1;1,73;2,2
herir;;3,97;3,79;1,17;3,86;2,72
hermana;;1,2;1,1;3,97;1,5;1
hermano;;1,47;1,1;4,3;1,47;1,1
hermoso;;1,2;1,4;4,33;1,17;1,13
heroína;;2,83;3;1,73;2,77;3,07
heroísmo;;1,37;2;3,03;1,7;1,5
herramienta;;1,17;1,7;1,8;1,37;1,23
herrero;;1,1;1,2;1,17;1,1;1,07
hervir;;1,07;1,7;1,47;1,37;1,07
héroe;;1,3;1,5;3,87;1,33;1,13
hidalguía;;1,52;1,38;2;1,43;1,33
hidromasaje;;1,1;1,03;4,24;1;1,1
hielo;;1,2;1,33;1,97;1,13;1
hiena;;1,4;3,33;1,37;1,57;1,9
hierro;;1,07;1,17;1,17;1,2;1,13
hija;;1,53;2,27;3,77;1,33;1,17
hijo;;1,43;2;4,43;1,23;1,33
hinchado;;1,63;1,93;1,43;1,63;2,27
hipopótamo;;1,27;2,73;2,7;1,3;1,7
historia;;1,8;1,6;2,17;1,53;1,37
hogar;;1,83;1,5;4,3;1,67;1,23
hoguera;;1,63;2,1;2,53;1,6;1,07
hoja;;1,57;1,33;2,17;1,3;1,27
holgado;;1,37;1,44;1,67;1,22;1,3
holgazán;;2,5;1,23;1,23;2,33;1,9
hombre;;1,47;1,53;2,57;1,57;1,3
homenaje;;2,17;1,23;3,5;1,17;1,03
homicida;;3,52;4,24;1,03;3,76;2,62
homicidio;;4,53;4,33;1;3,83;3,37
hondo;;2,13;3,33;1,33;1,43;1,33
honesto;;1,27;1,37;3,57;1,17;1,1
hongo;;1,7;2,63;1,17;1,7;3,83
honor;;1,3;1,8;3,73;1,7;1,3
honradez;;1,3;1,3;4,53;1,13;1,07
honrado;;1,14;1,07;4,1;1;1,07
horca;;2,82;3,11;1,32;2,46;2,71
hormiga;;1,07;1,27;1,37;1,07;1,67
hormigueo;;1,34;2,28;2,48;1,48;1,86
hormiguero;;1,03;1,7;1,7;1,3;2,17
hornear;;1,1;1,3;2,3;1,13;1,1
horquilla;;1;1;2,17;1,03;1,07
horror;;2,2;4,17;1,13;2,27;1,77
horroroso;;2;3,27;1,07;2,37;3,1
hospital;;3,47;3;1,63;1,7;2,07
hostil;;2,83;3,03;1,21;3,1;2,45
hotel;;1,03;1,17;2,87;1,1;1,17
hueco;;1,6;2,2;1,57;1,6;1,7
huerto;;1,1;1,07;2,7;1;1,17
huevo;;1,07;1,13;1,87;1,17;1,37
huérfano;;4,31;2,93;1,03;2,07;1,23
humanidad;;1,97;1,73;3,87;1,63;1,6
humanismo;;1,53;1,37;3,2;1,53;1,43
humanitario;;1,67;1,37;4,03;1,13;1,03
humano;;1,83;1,8;2,87;1,5;1,37
humedecer;;1,17;1,24;1,93;1,21;1,17
humildad;;1,6;1,37;3,4;1,23;1,13
humilde;;1,53;1,17;3,13;1,1;1
humillación;;4,43;3,6;1;4,1;3,5
humillar;;4;2,8;1;4,23;3,47
humor;;1,53;1,3;4,47;1,57;1,1
huracán;;3,47;4,53;1,07;2,73;1,47
hurgar;;1,87;2,13;1,27;1,97;2,63
húmedo;;1,7;1,63;1,63;1,17;2,53
idea;;1,3;1,57;3,67;1,3;1,07
ideal;;1,33;1,4;4,13;1,33;1,2
idealismo;;2,13;2,07;2,13;2;1,73
identidad;;1,4;1,83;2,9;1,2;1,03
idiota;;2,5;1,8;1,2;2,9;2,17
iglesia;;1,79;1,55;1,72;1,79;2,1
ignorancia;;3,5;2,9;1,27;2,8;2,27
igual;;1,67;1,53;2,23;1,5;1,43
igualar;;1,48;1,38;1,93;1,41;1,24
iguana;;1,1;1,97;1,77;1,07;2
ilusionado;;1,23;1,6;4,4;1,07;1,13
ilusionar;;1,3;2,03;4,4;1,27;1,13
ilusión;;1,13;1,53;4,47;1,2;1,13
imagen;;1,63;1,67;2,37;1,6;1,63
imaginación;;1,53;1,83;4,2;1,37;1,1
imaginar;;1,93;2;3,83;1,6;1,5
imán;;1,03;1,1;1,57;1,07;1,07
impaciencia;;1,77;2,13;1,27;2,97;1,5
imparcial;;1,4;1,3;1,5;1,5;1,33
impermeable;;1,1;1,13;1,6;1,03;1,17
implantar;;1,38;2,07;1,52;1,79;1,66
imponer;;2,97;2,7;1,1;3,57;2,63
importación;;1,27;1,43;1,93;1,27;1,17
imposibilidad;;3,7;3,3;1,2;3,13;1,93
impotencia;;3,37;2,67;1,03;3,6;1,57
impotente;;2,8;2,23;1,1;3,03;1,53
impresionado;;1,37;1,8;3,2;1,23;1,13
impresora;;1,23;1,13;1,2;1,7;1,17
imprimir;;1,21;1,17;1,41;1,21;1,14
imprudente;;2,27;3,57;1,4;2,67;2
impuesto;;2,67;2,53;1,17;3,17;2,9
impureza;;2,07;1,87;1,27;1,7;2,53
incapacidad;;3,83;3,63;1,03;2,6;1,8
incapaz;;3,43;2,8;1,03;3,3;1,67
incendiar;;3,86;4,31;1;3,69;2,14
incendio;;3,4;4,1;1;2,4;1,2
incentivo;;1,07;1,07;3,5;1,18;1,07
incomodidad;;2,43;2,4;1,13;2,5;2,1
inconsciente;;2,27;2,63;1,33;1,9;1,63
incordio;;1,37;1,2;1;2,77;1,63
incremento;;1,53;1,8;2,23;1,6;1,27
increpar;;2,22;2,43;1,09;3,52;2,04
inculto;;3,24;1,97;1,07;1,97;1,66
incurable;;4,4;4,4;1,13;3,2;2,27
indecisión;;2,4;3,03;1,23;2,37;1,57
indefenso;;3,23;3,27;1,17;2,07;1,4
indicio;;1,57;2,37;1,77;1,5;1,27
indiferente;;1,9;1,63;1,27;1,8;1,4
indio;;1,2;1,13;2;1,1;1,17
industria;;1,93;2,1;1,83;2,17;2,2
infancia;;1,53;1,43;4,4;1,2;1
infanta;;1,53;1,2;1,47;2;1,73
infarto;;3,37;4,47;1;1,77;1,33
infección;;2,4;3,33;1,03;1,77;3,07
infectar;;2,8;3,9;1,03;2,3;3,7
infeliz;;4,57;2,8;1;2,27;1,43
inferior;;3,47;2,77;1,13;2,3;1,63
inferioridad;;3,7;3,2;1,07;3,03;2,33
infidelidad;;4,37;3,17;1;3,97;3,3
infiel;;3,6;2,7;1,13;3,97;3,23
infierno;;2,41;3,52;1;2,69;2,14
infinito;;1,67;2,8;2,2;1,4;1,13
inflación;;2,31;2,14;1,21;2,31;2
información;;2,1;2,13;3,07;2,03;1,63
informática;;1,17;1,47;1,83;1,43;1,17
informático;;1,23;1,23;1,87;1,07;1,03
informe;;1,63;2;1,37;1,77;1,63
ingeniero;;1,37;1,37;2,1;1,27;1,2
ingenio;;1,23;1,53;3,87;1,23;1,13
ingrediente;;1,23;1,23;2,63;1,27;1,57
ingresar;;2,63;2,77;1,83;1,57;1,27
ingreso;;2,03;2,37;2,77;1,23;1,37
injuria;;2,96;2,19;1,07;3,96;2,81
injuriar;;3;2,64;1,04;3,71;2,43
injusticia;;3,83;2,93;1,03;4,17;3,17
inmaduro;;2,37;1,83;1,27;2,23;1,47
inmensidad;;1,73;2,67;2;1,1;1,1
inmoral;;2,83;2,1;1,23;3,07;2,53
innovación;;1,3;1,93;3,6;1,07;1,03
inocente;;1,4;1,3;2,1;1,1;1,03
inodoro;;1,03;1,1;1,47;1,03;2,73
