Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
acequia;acequi;1,13;1,88;1,41;1;1,67
acera;acer;1,17;1,33;1,37;1,17;1,33
acercamiento;acerc;1,2;2,85;1,45;1,45;1,6
acercar;acerc;1,21;2,35;1,25;1,2;1,2
acero;acer;1,35;1,55;1,5;1,45;1,3
acertada;acert;1,2;3,45;1,15;1,1;1
acertar;acert;1;4,15;1,1;1,05;1,1
acertijo;acertij;1,25;2,68;1,35;1,15;1,05
achacar;achac;2,22;1,39;1,94;2,58;1,94
acidez;acidez;1,57;1,53;1,17;1,63;2,77
ácido;acid;1,63;2,47;1,17;1,83;2,2
acierto;aciert;1,03;1,17;4,07;1,1;1,03
aclamación;aclam;1,35;2,74;1,7;1,5;1,4
aclamar;aclam;1,35;1,55;3,58;1,58;1,32
aclaración;aclar;1,25;2,5;1,25;1,1;1,05
aclarar;aclar;1,3;2,35;1;1,2;1,1
acné;acne;2,23;1,8;1,17;2,47;3,5
acné;acne;2,42;1,05;1,85;2,7;3,05
acogedor;acogedor;1,2;1,13;4,07;1,1;1,1
acogedora;acogedor;1,26;1,23;4,33;1,13;1,16
acoger;acog;1,4;3,2;1,55;1,15;1,05
acogida;acog;1,65;3,15;1,21;1,05;1
acometer;acomet;1,75;1,79;1,63;2,2;1,61
acometida;acomet;1,76;1,28;1,78;1,53;1,19
acomodar;acomod;1,1;3,45;1;1,15;1,15
acomodo;acomod;1,35;1,72;1,37;1,39;1,42
acompañamiento;acompañ;1,5;3,4;1,35;1,3;1,1
acompañante;acompañ;1,1;3,15;1;1,3;1,15
acompañar;acompañ;1,05;3,5;1,1;1,2;1,15
acondicionado;acondicion;1,1;2,1;1,15;1,3;1,25
acondicionamiento;acondicion;1,3;2,2;1,35;1,35;1,4
aconsejable;aconsej;1,15;3,05;1,2;1,15;1,25
aconsejar;aconsej;1,6;3,2;1,35;1,35;1
acontecer;acontec;1,2;2,61;1,55;1,05;1
acontecimiento;acontec;1,57;1,63;2,5;1,37;1,2
acoplamiento;acopl;1,5;1,65;2;2,3;1,85
acorazado;acoraz;1,6;2;2;1,5;1,4
acordar;acord;1,1;2,7;1,4;1,1;1,1
acorde;acord;1,35;2,32;1,11;1,2;1,2
acordeón;acordeon;1,3;2,6;1;1,15;1,05
acortar;acort;2;2,2;1,6;1,65;1,35
acosar;acos;3,2;4,07;1,13;4,03;3,57
acoso;acos;3,7;3,93;1,13;3,9;4,07
acostar;acost;1,25;3,45;1,25;1,3;1,3
acostumbrar;acostumbr;1,95;2,05;1,4;1,55;1,4
acre;acre;1,25;1,17;1;1,25;1,42
acrecentar;acrecent;1,26;2,33;1,26;1,47;1,18
acreditación;acredit;1,1;1,85;1;1,45;1,3
acreditar;acredit;1,25;2,05;1,4;1,1;1,05
acreedor;acreedor;1,67;1,33;1,35;1,72;1,13
acrílico;acril;1,32;2,35;1,05;1,15;1,32
acritud;acritud;2,29;1,23;2;1,56;1,87
acrónimo;acronim;1,15;1,32;1;1,27;1,06
acta;acta;1,25;2,05;1,84;1,45;1,7
actitud;actitud;1,1;3,5;1,3;1,3;1,32
activa;activ;1;3,5;1,1;1,15;1,1
activación;activ;1,15;3,05;1,2;1,15;1,05
activar;activ;1,13;1,4;2,53;1,33;1,1
actividad;activ;1,1;2,55;1,2;1,05;1,25
activismo;activ;1,25;3;1,68;1,55;1,35
activista;activ;1,6;2,65;1,55;1,55;1,7
acto;acto;1,17;1,43;2,03;1,27;1,13
actor;actor;1,4;3,5;1,15;1,05;1,15
actora;actor;1,13;2,39;1,13;1,41;1,26
actriz;actriz;1,37;1,1;2,53;1,23;1,27
actuación;actuacion;1,3;3,05;1,85;1,5;1,1
actual;actual;1,7;2;1,2;1,3;1,1
actualidad;actual;1,55;2,85;1,35;1,95;1,7
actualización;actualiz;1,2;2,85;1,3;1,75;1,35
actualizar;actualiz;1,2;2,8;1,4;1,45;1,2
actuar;actu;1,43;2;3;1,6;1,37
acuarela;acuarel;1,9;1,17;2,93;1,17;1,2
acuática;acuat;1,1;2,55;1,35;1,15;1,25
acuático;acuat;1,1;1,83;3,1;1,07;1,27
acuchillar;acuchill;3,43;4;1,13;3,9;3,4
acudir;acud;1,25;2,2;1,3;1,1;1,1
acueducto;acueduct;1;2,5;1,05;1;1,1
acuerdo;acuerd;1;1,47;3,3;1,1;1,1
acuicultura;acuicultur;1,43;2,06;1,5;1,24;1,15
acumulación;acumul;1,8;1,4;2,3;2,05;1,85
acumular;acumul;1,74;2,1;1,65;1,9;1,75
acuñado;acuñ;1,28;1,41;1,17;1,29;1,33
acuñar;acuñ;1,25;1,79;1,17;1,68;1,33
acurrucado;acurruc;1,21;3,7;1,2;1,15;1,1
acurrucarse;acurruc;1,83;1,6;3,9;1,07;1,07
acusación;acus;3,25;1,2;2,65;2,7;2,25
acusador;acus;2,84;1;2,85;3,7;3,1
acusar;acus;3,13;3,13;1,19;3,52;2,55
acuse;acus;2,35;1,4;2,58;3,05;2
acústica;acust;1,3;2,5;1,25;1,15;1,25
adaptabilidad;adapt;1,25;2,75;1,2;1,35;1,15
adaptación;adapt;1,35;3,25;1,35;1,6;1,15
adaptar;adapt;1,45;2,35;1,45;1,35;1,35
adecuar;adecu;1,05;2,25;1,1;1,2;1,15
adelantar;adelant;1,1;2,8;1,95;1,9;1,3
adelante;adel;1,1;2,55;1,15;1,05;1
adelanto;adelant;1,25;2,65;1,6;1,2;1,1
ademán;ademan;1,36;2;1,45;1,68;1,36
además;ademas;1,2;1,7;1,2;1,15;1,15
adentrar;adentr;1,25;2,06;2;1,33;1,35
adentro;adentr;1,35;1,7;1,6;1,3;1,2
adherencia;adherent;1,15;1,74;1,3;1,74;1,6
adherir;adher;1,3;1,9;1,35;1,35;1,4
adhesión;adhesion;1,21;1,75;1,2;1,5;1,4
adicción;adiccion;3,23;3,57;1,1;2,5;2,9
adición;adicion;2;1,89;2,75;2,1;2,4
adicional;adicional;1,15;1,85;1,35;1,5;1,15
adicto;adict;3,6;2,97;1,3;2,33;2,23
adiestramiento;adiestr;2,15;2,45;1,35;1,65;1,85
adinerado;adiner;1,4;1,4;3;1,87;1,73
adiós;adios;4,17;3,67;1,33;2,33;1,43
aditivo;adit;2,4;1,85;2,05;1,84;2,35
adivina;adivin;1,25;3,1;1,25;1,3;1,3
adivinación;adivin;1,3;2,1;1,75;1,5;1,65
adivinar;adivin;1,05;2,45;1,5;1,55;1,1
adivino;adivin;1,45;1,95;1,6;2;1,4
adjetivo;adjet;1,3;1,4;1;1,55;1,1
adjudicación;adjud;1,35;2,05;2;1,8;1,4
adjudicar;adjudic;1,5;2,2;1,65;1,3;1,5
adjunta;adjunt;1,1;1,8;1,1;1,1;1,2
adjunto;adjunt;1,05;1,85;1,1;1,35;1,15
administración;administr;1,2;1,55;1,1;1,55;1,35
administrador;administr;1,7;2,25;1,25;1,2;1,5
administrar;administr;1,15;2,25;1,2;1,5;1,25
administrativa;administr;1,4;1,5;1,25;1,3;1,75
admirable;admir;1,05;4;1,15;1;1,3
admiración;admir;1,37;1,43;3,67;1,3;1,2
admirado;admir;1,3;1,57;3,77;1,23;1,27
admirador;admir;1,1;3,65;1,6;1,1;1,35
admirar;admir;1,23;1,4;3,93;1,2;1,17
admisible;admis;1,5;2,75;1,3;1,3;1,2
admisión;admision;1,3;3,85;1,45;1,2;1,2
admitir;admit;1,55;2,9;1,75;1,3;1,15
adobe;adob;1,21;1,72;1,47;1,31;2
adolecer;adolec;3,42;1,13;2,15;2,07;1,87
adolescencia;adolescent;1,8;3,45;2,05;2,1;1,5
adolescente;adolescent;1,97;1,7;2,83;1,83;1,4
adopción;adopcion;1,77;1,77;3,53;1,17;1,03
adoptar;adopt;1,55;3,74;1,35;1;1,05
adoptivo;adopt;1,8;2,4;1,45;1,3;1,55
adorable;ador;1,03;1,03;4,43;1,03;1,03
adoración;ador;1,5;1,6;2,97;1,6;1,43
adorar;ador;1,25;2,65;1,3;1,6;1,5
adornado;adorn;1,3;2,65;1,05;1,2;1,25
adornar;adorn;1,3;3,15;1;1;1
adorno;adorn;1,25;2,8;1,25;1,2;1
adosada;ados;1,25;1,72;1,25;1,22;1,21
adosado;ados;1,2;1,84;1,15;1,25;1,26
adquirir;adquir;1,15;2,85;1,5;1,4;1,05
adquisición;adquisicion;1,15;3,3;1,65;1,1;1,4
adquisitivo;adquisit;1,15;2,5;1,45;1,37;1,5
adrenalina;adrenalin;1,4;3,5;1,9;1,95;1
adscripción;adscripcion;1,22;1,44;1,22;1,33;1,19
aduana;aduan;1,8;1,7;2;2,15;1,84
aduanera;aduaner;2,05;1,32;2,3;1,71;1,89
aducir;aduc;1,4;1,4;1,33;1,71;1,64
adulación;adul;1,67;1,6;1,73;1,94;1,71
adulterado;adulter;2;2,68;1,11;2,75;2,89
adulterio;adulteri;3,4;2,6;1,23;3,47;2,97
adulto;adult;1,89;2,04;2,11;1,57;1,36
advenimiento;adven;1,43;1,53;1,47;1,18;1,07
adverbio;adverbi;1,11;1,5;1,35;1,25;1,3
adversario;adversari;1,77;2,63;2,03;2,5;1,9
adversidad;advers;2,2;1,6;2,56;2,45;1,63
adverso;advers;2;1,35;2,05;1,89;1,8
advertencia;advertent;2;1,3;2,35;2,3;1,8
advertir;advert;1,83;2,77;1,7;2,03;1,47
adyacente;adyacent;1,65;2;1,33;1,17;1,21
aérea;aere;1,21;1,95;1,4;1,2;1,15
aéreo;aere;1,55;2,8;1,75;1,1;1
aeróbic;aerobic;1,05;2,6;1,25;1,25;1,35
aeródromo;aerodrom;1,05;1,65;1,06;1,6;1,3
aeroespacial;aeroespacial;1,05;2,65;1,45;1,2;1,05
aerolínea;aeroline;1,35;2,5;1,7;1,45;1,2
aeronáutica;aeronaut;1,25;2,2;1,4;1,15;1
aeronave;aeronav;1,2;2,05;1,45;1,3;1,11
aeroplano;aeroplan;1,1;1,65;1,7;1,15;1,2
aeropuerto;aeropuert;2,2;1,7;3,27;1,13;1,17
afable;afabl;1,23;3,22;1;1,12;1,21
afamado;afam;1,55;1,55;2,5;1,4;1,65
afán;afan;1,35;2,65;1,58;1,84;1,45
afasia;afasi;3,86;1,13;3,19;1,81;1,54
afección;afeccion;2,71;1,6;2,33;1,74;2,05
afecta;afect;2,15;1,85;2,3;1,55;1,68
afectación;afect;2,47;1,85;1,95;2,42;1,75
afectar;afect;3;2,2;1,33;1,57;1,1
afectiva;afect;1,4;3,5;1,1;1,55;1,05
afecto;afect;1,5;1,43;4,37;1,2;1,03
afectuosa;afectu;1,4;3,35;1,3;1,1;1,15
afectuoso;afectu;1,33;1,27;3,83;1,07;1,13
afeitar;afeit;1,4;1,85;1,25;1,25;1,5
aferrar;aferr;1,6;1,85;1,65;1,8;1,65
afgano;afgan;2,11;1,94;2,33;1,71;1,25
afianzar;afianz;1,31;1,52;1,9;1,17;1,14
afición;aficion;1,17;1,31;4,07;1,21;1,14
aficionado;aficion;1,45;3,2;1,15;1,25;1,53
afiliación;afili;1,35;2,35;1,42;1,4;1,11
afiliar;afili;1,2;1,8;1,25;1,35;1,75
afín;afin;1,16;2,45;1,3;1,25;1,25
afinación;afin;1,2;1,82;1;1,1;1,05
afinar;afin;1,05;2,6;1;1,3;1,15
afincado;afinc;1,26;1,53;1,21;1,21;1,31
afinidad;afin;1,05;3,15;1,35;1,15;1,1
afirmación;afirm;1,15;2,6;1,15;1,35;1,35
afirmar;afirm;1,55;3,4;1,35;1,15;1,05
afirmativo;afirm;1,2;2,95;1,25;1,05;1
aflicción;afliccion;3,35;1,42;2,27;2,17;1,93
afligido;aflig;4,1;2,55;1,1;1,97;1,48
aflojar;afloj;1,25;1,9;1,1;1,55;1,4
afluencia;afluenci;1,26;2,2;1,63;1,42;1,37
afluente;afluent;1,16;2,15;1,25;1,05;1
aforo;afor;1,2;1,75;1,65;1,55;1,4
afortunado;afortun;1,13;1,07;4,1;1,33;1,07
áfrica;afric;2,6;2,05;1,3;1,4;1,25
afroamericano;afroamerican;1,05;2,65;1,05;1,05;1,2
afrontar;afront;1,8;3,4;2,05;1,8;1,2
afuera;afuer;1,35;2,1;1,45;1,15;1,25
agachar;agach;1,2;1,55;1,1;1,2;1,05
agarrado;agarr;2;1,8;2,35;2,5;2,45
agarrar;agarr;1,3;2,1;2,2;1,7;1,55
agarre;agarr;1,42;1,3;1,7;1,65;1,2
ágata;agat;1,19;2,13;1,15;1,13;1,18
agencia;agenci;1,28;1,28;1,55;1,34;1,31
agenda;agend;1,15;1,9;1,35;1,4;1,35
agente;agent;1,37;2,07;1,43;1,87;1,77
ágil;agil;1;3,4;1,1;1,1;1,05
agilidad;agil;1,13;1,13;3,07;1,1;1,03
agilizar;agiliz;1,1;2,45;1,25;1,25;1,1
agitación;agit;1,4;2,15;2,15;2,1;1,75
agitar;agit;1,3;1,9;1,7;1,6;1,25
aglomeración;aglomer;1,43;2,47;1,77;2,47;2,1
aglomerado;aglomer;1,9;1,7;1,85;2;2,16
aglutinar;aglutin;1,58;1,3;1,68;2,05;1,95
agobiado;agobi;2,57;2,3;1,07;2,77;1,57
agonía;agon;3,6;3,07;1,07;2,2;2,03
agonizante;agoniz;4,15;1,05;3,7;2,4;2,6
agonizar;agoniz;4,1;4,17;1;3,03;1,72
agosto;agost;1,2;3,35;1,2;1,3;1,2
agotamiento;agot;2,65;1,05;2,1;2,15;2,3
agotar;agot;2,25;1,4;1,65;2,25;1,55
agradable;agrad;1,1;4,4;1;1;1
agradar;agrad;1,13;1,3;4,43;1,07;1,1
agradecer;agradec;1,05;3,85;1,15;1,05;1
agradecido;agradec;1,1;1,07;4,3;1,03;1,03
agradecimiento;agradec;1,25;4;1,1;1,1;1
agrado;agrad;1;4,45;1,15;1,05;1
agravamiento;agrav;2,53;1,26;2,84;2,75;1,5
agravar;agrav;2,2;1,1;2,67;3,11;1,84
agravio;agravi;1,69;1,06;2,13;2,5;2
agredir;agred;3,37;3,53;1;3,97;3,2
agregación;agreg;1,1;2,15;1,05;1,1;1,3
agregado;agreg;1,05;2,25;1,15;1,3;1,11
agregar;agreg;1,2;2,65;1,4;1,05;1,35
agresión;agresion;3,48;3,93;1,1;4,31;3,41
agresividad;agres;3,43;3,87;1,3;4,4;3,2
agresivo;agres;2,87;3,4;1,23;3,9;2,23
agresor;agresor;3,95;1;3,9;4,5;3,6
agria;agri;2;1;1,65;2,45;3,25
agrícola;agricol;1,2;1,65;1;1,2;1,5
agricultor;agricultor;1,5;1,3;2,17;1,2;1,2
agricultura;agricultur;1,15;2,65;1,21;1,15;1,1
agropecuaria;agropecuari;1,29;1,38;1;1,28;1,54
agrupación;agrup;1,35;2,85;1,65;1,5;1,55
agrupar;agrup;1,25;2;1,2;1,35;1,15
agua;agu;1,37;1,87;3;1,17;1,27
aguacero;aguacer;1,42;2,11;1,63;1,5;1,5
aguafuerte;aguafuert;1,21;1,56;2;1,68;2,82
aguamarina;aguamarin;1,05;3;1,1;1;1,05
aguanieve;aguaniev;1,3;1,1;2,27;1,03;1
aguantar;aguant;2,05;1,7;2;2,7;1,5
aguante;aguant;1,7;2;1,42;1,85;1,55
aguardar;aguard;1,55;1,5;1,3;1,35;1,6
aguardiente;aguardient;1,37;1,5;2,17;1,27;2,43
agudeza;agudez;1,15;2,58;1,25;1,45;1,05
agudo;agud;1,4;1,73;1,53;1,57;1,37
aguijón;aguijon;1,64;3,75;1,04;2,39;2,75
águila;aguil;1,13;2,27;2,07;1,3;1,37
aguilucho;aguiluch;1,6;2,11;1,78;1,26;1,72
aguja;aguj;1,37;2,17;1,13;1,5;1,6
agujero;agujer;1,45;2,05;2,25;1,6;1,95
ahijada;ahij;1,1;2,78;1;1;1,1
ahijado;ahij;1,4;2,89;1;1,2;1,05
ahínco;ahinc;1,4;2,4;1,21;1,88;1,15
ahogar;ahog;3,6;4,37;1;3,2;1,97
ahogarse;ahog;3,43;4,57;1,03;2,23;1,47
ahogo;ahog;3,45;1,1;3,6;2,85;2,55
ahondar;ahond;1,56;1,82;1,71;1,69;1,2
ahora;ahor;1,35;2,4;1,4;1,25;1,25
ahorcar;ahorc;3,66;3,97;1,03;3,83;3,03
ahorra;ahorr;1,3;2,75;1,3;1,35;1,35
ahorrar;ahorr;1,37;1,23;2,53;1,17;1,07
ahorro;ahorr;1,75;3,6;1,5;1,3;1,35
ahuyentar;ahuyent;1,6;1,47;2;2,25;1,65
aire;air;1,13;1,1;2,87;1,13;1,1
airoso;airos;1,3;2,68;1,4;1,63;1,56
aislamiento;aislamient;3,77;4;1,1;2,37;1,83
aislante;aislant;1,65;1,55;1,55;1,68;1,45
aislar;aisl;3,37;1,15;2,9;2,1;2,65
ajedrez;ajedrez;1,47;1,27;2,1;1,47;1,03
ajeno;ajen;1,4;1,65;1,8;1,8;1,45
ajo;ajo;1,45;1,75;1,15;1,75;1,95
ajuar;aju;1,38;1,64;1,2;1,3;1,23
ajustar;ajust;1,25;1,8;1,35;1,3;1,25
ajuste;ajust;1,25;1,95;1,58;1,2;1,1
ala;ala;1,1;2,58;1,25;1,15;1,05
alabado;alab;1,22;1,95;1,3;1,68;1,68
alabanza;alab;1,65;3,47;1,15;1,3;1,5
alabar;alab;1,3;1,43;3,43;1,33;1,47
alacena;alacen;1;1,62;1,14;1,27;1,62
alado;alad;1;2,53;1,14;1;1,27
alambrada;alambr;2,2;2,03;1,2;1,93;1,53
alambrado;alambr;2,25;1,42;1,95;2,1;1,68
alambre;alambr;1,67;1,83;1,17;1,4;1,23
álamo;alam;1,12;1,84;1,05;1,18;1,16
alar;alar;1,33;1,55;1,15;1,14;1,25
alarde;alard;1,5;1,63;1,71;2,5;1,64
alargar;alarg;1,4;2,55;1,3;1,55;1,3
alarido;alar;2,47;1,41;2,76;1,93;2
alarma;alarm;1,86;3,23;1,45;2,34;1,48
alarmante;alarm;2,4;1,2;3,25;2,4;1,9
alarmar;alarm;1,77;3,77;1,37;1,9;1,23
alas;alas;1,05;2,75;1,2;1,05;1,25
alba;alba;1,53;1;3,13;1,07;1
albanesa;albanes;1,25;1,94;1,33;1,05;1,1
albañil;albañil;1,43;1,33;1,73;1,23;1,43
albaricoque;albaricoqu;1;2,6;1,2;1,1;1,5
albedrío;albedri;1,33;2,28;1,68;1,33;1,16
albergar;alberg;1,6;1,95;1,45;1,32;1,15
albergue;alberg;1,53;1,73;2,9;1,37;1,87
albina;albin;1,58;1,65;1,65;1,11;1,05
albornoz;albornoz;1,15;2,15;1;1,1;1,1
alboroto;alborot;1,47;1,5;2,4;2,95;2,2
albufera;albufer;1,12;1,64;1,23;1,17;1,33
álbum;album;1,85;2,9;1,1;1;1
alcachofa;alcachof;1,25;1,7;1,05;1,45;2,25
alcaide;alcaid;1,82;1,43;1,44;1,71;1,47
alcalde;alcald;1,1;1,65;1,1;1,8;1,75
alcaldesa;alcaldes;1,43;1,23;1,43;2,13;1,93
alcaldía;alcald;1,5;1,6;1,45;2;2,06
alcance;alcanc;1,15;2,5;1,2;1,2;1,05
alcantarillado;alcantarill;1,4;1,35;1,63;1,7;3,45
alcanzar;alcanz;1,1;3,2;1,05;1,3;1,2
alcayata;alcayat;1,13;1,36;1,29;1,06;1,69
alcázar;alcaz;1,06;2;1,35;1;1,6
alce;alce;1,18;2,21;2,39;1,11;1,14
alcoba;alcob;1,35;1,95;1,16;1,06;1,56
alcohol;alcohol;2,25;3,1;2,35;1,8;2,75
alcohólica;alcohol;3,65;1,35;2,85;2,45;2,8
alcohólico;alcohol;3,9;2,63;1,27;2,63;2,47
alcoholismo;alcohol;3,75;1,45;3,45;3,75;3,05
alcornoque;alcornoqu;1,06;2,05;1,05;1,19;1,28
aldea;alde;1,3;2,15;1,6;1,15;1,05
aleación;aleacion;1;1,63;1,06;1,2;1,24
aleatorio;aleatori;1,4;2,2;1,55;1,6;1,2
alegación;aleg;1,58;1,29;1,47;1,44;1,37
alegar;aleg;1,4;2,05;1,37;1,5;1,25
alegato;alegat;1,79;1,94;1,45;1,39;1,88
alegoría;alegor;1,33;1,78;1,32;1,18;1,11
alegórica;alegor;1,6;2,18;1;1,27;1,2
alegra;alegr;1,2;3,83;1,05;1;1
alegrar;alegr;1,07;1,43;4,73;1,03;1
alegre;alegr;1,1;1,23;4,83;1,1;1,03
alegría;alegr;1;1,23;4,77;1;1,13
alegro;alegr;1,1;3,55;1,06;1,25;1,11
