Word;lexema;tristeza;alegria;miedo;ira;asco;tipoPalabra;genero;numero
abridor;abridor;1,05;1,25;2;1,1;1,1;ADJ;M;S
abrigar;abrig;1,15;1,1;2,75;1,3;1,05;VERB;X;X
abrigo;abrig;1,53;1,07;2,5;1,03;1,13;NOUN;X;X
abril;abril;1,3;1,05;3,65;1,1;1,1;NOUN;X;X
abrir;abrir;1;1,25;2,85;1,05;1,05;VERB;X;X
abroncar;abronc;2,71;2,95;1,05;3,71;1,67;VERB;X;X
abrumado;abrum;2,67;2,5;1,5;2,27;1,27;ADJ;M;S
abrumadora;abrum;2,3;2;1,7;1,85;1,68;ADJ;F;S
abrupto;abrupt;1,6;1,89;1,11;2,18;1,59;ADJ;M;S
absenta;absent;1,21;1,68;2,32;1,79;2,5;VERB;X;S
absolución;absolu;1,47;1,37;1,63;1,68;1,45;NOUN;F;S
absolutismo;absolut;3,55;3,1;1,3;2,58;3,05;NOUN;M;S
absolutista;absolut;2,35;3,05;1,25;3,5;2,8;ADJ;X;S
absoluto;absolut;1,2;1,8;2,1;1,4;1,25;ADJ;M;S
absorbente;absorbent;2,65;1,9;1,7;1,74;1,95;ADV;X;X
absorber;absorb;1,45;1,6;1,8;1,9;1,85;VERB;X;X
absorción;absorcion;2;1,9;1,45;1,4;2,15;NOUN;F;S
absorto;absort;1,44;1,56;1,65;1,37;1,79;ADJ;M;S
abstención;abstencion;2;1,63;1,35;1,65;1,6;NOUN;F;S
abstener;absten;1,8;1,8;1,4;2,1;2,05;VERB;X;X
abstinencia;abstinent;2,25;1,9;1,35;2,3;2,1;NOUN;F;S
abstinente;abstinent;1,89;1,7;1,48;1,67;1,48;ADV;X;X
abstracción;abstraccion;1,55;1,35;1,95;1,55;1,4;NOUN;F;S
abstracto;abstract;1,15;1,6;2,85;1,2;1,3;NOUN;M;S
absurdo;absurd;1,83;1,57;1,63;2,17;1,23;PROPN;X;X
abuela;abuel;2,3;1,67;4,33;1,13;1,1;PROPN;X;X
abuelo;abuel;2,6;1,2;4,6;1,07;1,1;NOUN;M;S
abundancia;abund;1,37;1,73;3,67;1,2;1,2;NOUN;F;S
abundante;abund;1,3;1,3;3;1,5;1,4;ADJ;X;S
abundar;abund;1,25;1,25;2,85;1,45;1,33;VERB;X;X
aburrido;aburr;2,9;1,17;1,03;1,4;1,33;ADJ;M;S
aburrimiento;aburr;3,05;1,95;1,1;2,05;2,35;NOUN;M;S
aburrir;aburr;2,45;1,8;1,05;2,65;2;VERB;X;X
abusar;abus;4,2;3,5;1,1;4,2;3,85;VERB;X;X
abusivo;abus;3,5;3,35;1;4,05;3,45;ADJ;M;S
abuso;abus;4,2;4,07;1,17;4,37;4,03;NOUN;M;S
acabar;acab;2,85;2,2;2,16;1,35;1,15;VERB;X;X
academia;academi;1,5;1,3;1,6;1,45;1,4;PROPN;X;X
académico;academ;1,45;1,55;2,25;1,45;1,35;NOUN;M;S
acallar;acall;1,41;1,63;1,63;2,13;1,72;VERB;X;X
acampar;acamp;1,2;1,9;3,3;1,35;1,3;VERB;X;X
acantilado;acantil;1,85;2,85;1,85;1,35;1,3;ADJ;M;S
acariciar;acarici;1,43;1,27;4,47;1,1;1,13;VERB;X;X
ácaro;acar;1,79;2;1;2,63;3,84;NOUN;M;S
acarrear;acarr;2,05;1,7;1,2;2;1,2;VERB;X;X
acaso;acas;1,1;1,24;1,22;1,24;1,25;ADV;X;X
acatamiento;acat;1,63;2,11;1,39;2;2,05;NOUN;M;S
acatar;acat;2,14;2,28;1,41;1,97;1,59;VERB;X;X
acceder;acced;1,3;1,42;3,05;1,35;1,05;VERB;X;X
accesibilidad;accesibil;1,5;1,2;3,05;1,4;1,4;NOUN;F;S
accesible;acces;1,15;1;2,8;1,35;1,15;ADJ;X;S
acceso;acces;1,35;1,3;2,85;1,05;1,2;NOUN;M;S
accesorio;accesori;1,1;1,05;2,4;1,05;1,1;NOUN;M;S
accidental;accidental;2,85;2,55;1,4;1,95;1,45;ADJ;X;S
accidente;accident;4,17;3,83;1,03;3,13;1,8;NOUN;M;S
acción;accion;1,57;2,27;2,8;1,73;1,4;NOUN;F;S
accionar;accion;1,1;1,35;2,3;1,45;1,15;VERB;X;X
accionarial;accionarial;1,14;1,36;1,25;1,25;1,36;ADJ;X;S
acciones;accion;1,65;1,6;2,6;1,65;1,15;NOUN;F;P
accionista;accion;1,11;1,55;1,94;1,5;1,55;ADJ;X;S
acebo;aceb;1,27;1,07;1,75;1,31;1,14;PROPN;X;X
acechar;acech;2,2;2,58;1,65;2,21;1,68;VERB;X;X
acecho;acech;2,05;2,33;1,25;2,37;1,89;NOUN;X;X
aceite;aceit;1,2;1,05;2,2;1,35;1,65;NOUN;M;S
aceleración;aceler;1,4;1,8;3,15;1,65;1,15;NOUN;F;S
acelerador;aceler;1,23;1,9;1,9;1,37;1,07;ADV;X;X
acelerar;aceler;1,35;2,42;2,75;1,85;1,35;VERB;X;X
acento;acent;1,27;1,27;2,67;1,47;1,27;NOUN;M;S
acentuación;acentu;1,4;1,3;2,1;1,53;1,47;NOUN;F;S
acentuar;acentu;1,1;1,65;1,85;1,3;1,3;VERB;X;X
acepción;acepcion;1,56;1,18;1,65;1,19;1,25;NOUN;F;S
aceptable;acept;1,5;1;2,5;1,3;1;ADJ;X;S
aceptación;acept;1,33;1,37;3,77;1,23;1,2;NOUN;F;S
aceptar;acept;1,25;1,35;2,95;1,05;1,2;VERB;X;X
acepto;acept;1,25;1,45;2,7;1,25;1,1;PROPN;X;X
acequia;acequi;1,13;1,41;1,88;1;1,67;ADV;X;X
acera;acer;1,17;1,33;1,37;1,17;1,33;PROPN;X;X
acercamiento;acerc;1,2;1,45;2,85;1,45;1,6;NOUN;M;S
acercar;acerc;1,21;1,25;2,35;1,2;1,2;VERB;X;X
acero;acer;1,35;1,5;1,55;1,45;1,3;NOUN;M;S
acertada;acert;1,2;1,15;3,45;1,1;1;ADJ;F;S
acertar;acert;1;1,1;4,15;1,05;1,1;VERB;X;X
acertijo;acertij;1,25;1,35;2,68;1,15;1,05;PROPN;X;X
achacar;achac;2,22;1,94;1,39;2,58;1,94;VERB;X;X
acidez;acidez;1,57;1,53;1,17;1,63;2,77;NOUN;F;S
ácido;acid;1,63;2,47;1,17;1,83;2,2;NOUN;M;S
acierto;aciert;1,03;1,17;4,07;1,1;1,03;NOUN;M;S
aclamación;aclam;1,35;1,7;2,74;1,5;1,4;NOUN;F;S
aclamar;aclam;1,35;1,55;3,58;1,58;1,32;VERB;X;X
aclaración;aclar;1,25;1,25;2,5;1,1;1,05;NOUN;F;S
aclarar;aclar;1,3;1;2,35;1,2;1,1;VERB;X;X
acné;acne;2,42;1,85;1,05;2,7;3,05;NOUN;M;S
acné;acne;2,23;1,8;1,17;2,47;3,5;NOUN;M;S
acogedor;acogedor;1,2;1,13;4,07;1,1;1,1;NOUN;M;S
acogedora;acogedor;1,26;1,23;4,33;1,13;1,16;NOUN;F;S
acoger;acog;1,4;1,55;3,2;1,15;1,05;VERB;X;X
acogida;acog;1,65;1,21;3,15;1,05;1;NOUN;F;S
acometer;acomet;1,75;1,63;1,79;2,2;1,61;VERB;X;X
acometida;acomet;1,76;1,78;1,28;1,53;1,19;ADJ;F;S
acomodar;acomod;1,1;1;3,45;1,15;1,15;VERB;X;X
acomodo;acomod;1,35;1,37;1,72;1,39;1,42;NOUN;M;S
acompañamiento;acompañ;1,5;1,35;3,4;1,3;1,1;NOUN;M;S
acompañante;acompañ;1,1;1;3,15;1,3;1,15;NOUN;X;S
acompañar;acompañ;1,05;1,1;3,5;1,2;1,15;VERB;X;X
acondicionado;acondicion;1,1;1,15;2,1;1,3;1,25;NOUN;X;X
acondicionamiento;acondicion;1,3;1,35;2,2;1,35;1,4;NOUN;M;S
aconsejable;aconsej;1,15;1,2;3,05;1,15;1,25;ADJ;X;S
aconsejar;aconsej;1,6;1,35;3,2;1,35;1;VERB;X;X
acontecer;acontec;1,2;1,55;2,61;1,05;1;VERB;X;X
acontecimiento;acontec;1,57;1,63;2,5;1,37;1,2;NOUN;M;S
acoplamiento;acopl;1,5;2;1,65;2,3;1,85;NOUN;M;S
acorazado;acoraz;1,6;2;2;1,5;1,4;ADJ;M;S
acordar;acord;1,1;1,4;2,7;1,1;1,1;VERB;X;X
acorde;acord;1,35;1,11;2,32;1,2;1,2;ADV;X;X
acordeón;acordeon;1,3;1;2,6;1,15;1,05;PROPN;X;X
acortar;acort;2;1,6;2,2;1,65;1,35;VERB;X;X
acosar;acos;3,2;4,07;1,13;4,03;3,57;VERB;X;X
acoso;acos;3,7;3,93;1,13;3,9;4,07;NOUN;M;S
acostar;acost;1,25;1,25;3,45;1,3;1,3;VERB;X;X
acostumbrar;acostumbr;1,95;1,4;2,05;1,55;1,4;VERB;X;X
acre;acre;1,25;1,17;1;1,25;1,42;PROPN;X;X
acrecentar;acrecent;1,26;1,26;2,33;1,47;1,18;VERB;X;X
acreditación;acredit;1,1;1;1,85;1,45;1,3;NOUN;F;S
acreditar;acredit;1,25;1,4;2,05;1,1;1,05;VERB;X;X
acreedor;acreedor;1,67;1,35;1,33;1,72;1,13;NOUN;M;S
acrílico;acril;1,32;1,05;2,35;1,15;1,32;ADJ;M;S
acritud;acritud;2,29;2;1,23;1,56;1,87;NOUN;F;S
acrónimo;acronim;1,15;1;1,32;1,27;1,06;PROPN;X;X
acta;acta;1,25;1,84;2,05;1,45;1,7;ADJ;F;S
actitud;actitud;1,1;1,3;3,5;1,3;1,32;NOUN;F;S
activa;activ;1;1,1;3,5;1,15;1,1;ADJ;F;S
activación;activ;1,15;1,2;3,05;1,15;1,05;NOUN;F;S
activar;activ;1,13;1,4;2,53;1,33;1,1;VERB;X;X
actividad;activ;1,1;1,2;2,55;1,05;1,25;NOUN;F;S
activismo;activ;1,25;1,68;3;1,55;1,35;NOUN;M;S
activista;activ;1,6;1,55;2,65;1,55;1,7;NOUN;X;S
acto;acto;1,17;1,43;2,03;1,27;1,13;NOUN;M;S
actor;actor;1,4;1,15;3,5;1,05;1,15;NOUN;M;S
actora;actor;1,13;1,13;2,39;1,41;1,26;NOUN;F;S
actriz;actriz;1,37;1,1;2,53;1,23;1,27;NOUN;F;S
actuación;actuacion;1,3;1,85;3,05;1,5;1,1;NOUN;F;S
actual;actual;1,7;1,2;2;1,3;1,1;ADJ;X;S
actualidad;actual;1,55;1,35;2,85;1,95;1,7;NOUN;F;S
actualización;actualiz;1,2;1,3;2,85;1,75;1,35;NOUN;F;S
actualizar;actualiz;1,2;1,4;2,8;1,45;1,2;VERB;X;X
actuar;actu;1,43;2;3;1,6;1,37;VERB;X;X
acuarela;acuarel;1,9;1,17;2,93;1,17;1,2;PROPN;X;X
acuática;acuat;1,1;1,35;2,55;1,15;1,25;VERB;X;S
acuático;acuat;1,1;1,83;3,1;1,07;1,27;ADJ;M;S
acuchillar;acuchill;3,43;4;1,13;3,9;3,4;VERB;X;X
acudir;acud;1,25;1,3;2,2;1,1;1,1;VERB;X;X
acueducto;acueduct;1;1,05;2,5;1;1,1;NOUN;M;S
acuerdo;acuerd;1;1,47;3,3;1,1;1,1;NOUN;M;S
acuicultura;acuicultur;1,43;1,5;2,06;1,24;1,15;NOUN;F;S
acumulación;acumul;1,8;2,3;1,4;2,05;1,85;NOUN;F;S
acumular;acumul;1,74;1,65;2,1;1,9;1,75;VERB;X;X
acuñado;acuñ;1,28;1,17;1,41;1,29;1,33;ADJ;M;S
acuñar;acuñ;1,25;1,17;1,79;1,68;1,33;VERB;X;X
acurrucado;acurruc;1,21;1,2;3,7;1,15;1,1;ADJ;M;S
acurrucarse;acurruc;1,83;1,6;3,9;1,07;1,07;PROPN;X;X
acusación;acus;3,25;2,65;1,2;2,7;2,25;NOUN;F;S
acusador;acus;2,84;2,85;1;3,7;3,1;NOUN;M;S
acusar;acus;3,13;3,13;1,19;3,52;2,55;VERB;X;X
acuse;acus;2,35;2,58;1,4;3,05;2;PROPN;X;X
acústica;acust;1,3;1,25;2,5;1,15;1,25;PROPN;X;X
adaptabilidad;adapt;1,25;1,2;2,75;1,35;1,15;NOUN;F;S
adaptación;adapt;1,35;1,35;3,25;1,6;1,15;NOUN;F;S
adaptar;adapt;1,45;1,45;2,35;1,35;1,35;VERB;X;X
adecuar;adecu;1,05;1,1;2,25;1,2;1,15;VERB;X;X
adelantar;adelant;1,1;1,95;2,8;1,9;1,3;VERB;X;X
adelante;adel;1,1;1,15;2,55;1,05;1;ADV;X;X
adelanto;adelant;1,25;1,6;2,65;1,2;1,1;NOUN;M;S
ademán;ademan;1,36;2;1,45;1,68;1,36;PROPN;X;X
además;ademas;1,2;1,2;1,7;1,15;1,15;ADV;X;X
adentrar;adentr;1,25;2;2,06;1,33;1,35;VERB;X;X
adentro;adentr;1,35;1,6;1,7;1,3;1,2;ADV;X;X
adherencia;adherent;1,15;1,3;1,74;1,74;1,6;NOUN;F;S
adherir;adher;1,3;1,35;1,9;1,35;1,4;VERB;X;X
adhesión;adhesion;1,21;1,2;1,75;1,5;1,4;NOUN;F;S
adicción;adiccion;3,23;3,57;1,1;2,5;2,9;NOUN;F;S
adición;adicion;2;2,75;1,89;2,1;2,4;NOUN;F;S
adicional;adicional;1,15;1,35;1,85;1,5;1,15;ADJ;X;S
adicto;adict;3,6;2,97;1,3;2,33;2,23;PROPN;X;X
adiestramiento;adiestr;2,15;1,35;2,45;1,65;1,85;NOUN;M;S
adinerado;adiner;1,4;1,4;3;1,87;1,73;ADJ;M;S
adiós;adios;4,17;3,67;1,33;2,33;1,43;INTJ;X;X
aditivo;adit;2,4;2,05;1,85;1,84;2,35;ADJ;M;S
adivina;adivin;1,25;1,25;3,1;1,3;1,3;NOUN;F;S
adivinación;adivin;1,3;1,75;2,1;1,5;1,65;NOUN;F;S
adivinar;adivin;1,05;1,5;2,45;1,55;1,1;VERB;X;X
adivino;adivin;1,45;1,6;1,95;2;1,4;NOUN;M;S
adjetivo;adjet;1,3;1;1,4;1,55;1,1;NOUN;M;S
adjudicación;adjud;1,35;2;2,05;1,8;1,4;NOUN;F;S
adjudicar;adjudic;1,5;1,65;2,2;1,3;1,5;VERB;X;X
adjunta;adjunt;1,1;1,1;1,8;1,1;1,2;PROPN;X;X
adjunto;adjunt;1,05;1,1;1,85;1,35;1,15;ADJ;M;S
administración;administr;1,2;1,1;1,55;1,55;1,35;NOUN;F;S
administrador;administr;1,7;1,25;2,25;1,2;1,5;NOUN;M;S
administrar;administr;1,15;1,2;2,25;1,5;1,25;VERB;X;X
administrativa;administr;1,4;1,25;1,5;1,3;1,75;ADJ;F;S
admirable;admir;1,05;1,15;4;1;1,3;ADJ;X;S
admiración;admir;1,37;1,43;3,67;1,3;1,2;NOUN;F;S
admirado;admir;1,3;1,57;3,77;1,23;1,27;ADJ;M;S
admirador;admir;1,1;1,6;3,65;1,1;1,35;NOUN;M;S
admirar;admir;1,23;1,4;3,93;1,2;1,17;VERB;X;X
admisible;admis;1,5;1,3;2,75;1,3;1,2;ADJ;X;S
admisión;admision;1,3;1,45;3,85;1,2;1,2;NOUN;F;S
admitir;admit;1,55;1,75;2,9;1,3;1,15;VERB;X;X
adobe;adob;1,21;1,47;1,72;1,31;2;PROPN;X;X
adolecer;adolec;3,42;2,15;1,13;2,07;1,87;VERB;X;X
adolescencia;adolescent;1,8;2,05;3,45;2,1;1,5;NOUN;F;S
adolescente;adolescent;1,97;1,7;2,83;1,83;1,4;ADV;X;X
adopción;adopcion;1,77;1,77;3,53;1,17;1,03;NOUN;F;S
adoptar;adopt;1,55;1,35;3,74;1;1,05;VERB;X;X
adoptivo;adopt;1,8;1,45;2,4;1,3;1,55;ADJ;M;S
adorable;ador;1,03;1,03;4,43;1,03;1,03;ADJ;X;S
adoración;ador;1,5;1,6;2,97;1,6;1,43;NOUN;F;S
adorar;ador;1,25;1,3;2,65;1,6;1,5;VERB;X;X
adornado;adorn;1,3;1,05;2,65;1,2;1,25;ADJ;M;S
adornar;adorn;1,3;1;3,15;1;1;VERB;X;X
adorno;adorn;1,25;1,25;2,8;1,2;1;NOUN;M;S
adosada;ados;1,25;1,25;1,72;1,22;1,21;ADJ;F;S
adosado;ados;1,2;1,15;1,84;1,25;1,26;NOUN;M;S
adquirir;adquir;1,15;1,5;2,85;1,4;1,05;VERB;X;X
adquisición;adquisicion;1,15;1,65;3,3;1,1;1,4;NOUN;F;S
adquisitivo;adquisit;1,15;1,45;2,5;1,37;1,5;ADJ;M;S
adrenalina;adrenalin;1,4;1,9;3,5;1,95;1;NOUN;F;S
adscripción;adscripcion;1,22;1,22;1,44;1,33;1,19;NOUN;F;S
aduana;aduan;1,8;2;1,7;2,15;1,84;PROPN;X;X
aduanera;aduaner;2,05;2,3;1,32;1,71;1,89;VERB;X;S
aducir;aduc;1,4;1,33;1,4;1,71;1,64;VERB;X;X
adulación;adul;1,67;1,73;1,6;1,94;1,71;NOUN;F;S
adulterado;adulter;2;2,68;1,11;2,75;2,89;ADJ;M;S
adulterio;adulteri;3,4;2,6;1,23;3,47;2,97;ADJ;M;S
adulto;adult;1,89;2,04;2,11;1,57;1,36;ADJ;M;S
advenimiento;adven;1,43;1,47;1,53;1,18;1,07;NOUN;M;S
adverbio;adverbi;1,11;1,35;1,5;1,25;1,3;NOUN;M;S
adversario;adversari;1,77;2,63;2,03;2,5;1,9;NOUN;M;S
adversidad;advers;2,2;2,56;1,6;2,45;1,63;NOUN;F;S
adverso;advers;2;2,05;1,35;1,89;1,8;ADJ;M;S
advertencia;advertent;2;2,35;1,3;2,3;1,8;NOUN;F;S
advertir;advert;1,83;2,77;1,7;2,03;1,47;VERB;X;X
adyacente;adyacent;1,65;1,33;2;1,17;1,21;ADV;X;X
aérea;aere;1,21;1,4;1,95;1,2;1,15;PROPN;X;X
aéreo;aere;1,55;1,75;2,8;1,1;1;ADJ;M;S
aeróbic;aerobic;1,05;1,25;2,6;1,25;1,35;VERB;X;S
aeródromo;aerodrom;1,05;1,06;1,65;1,6;1,3;VERB;X;S
aeroespacial;aeroespacial;1,05;1,45;2,65;1,2;1,05;ADJ;X;S
aerolínea;aeroline;1,35;1,7;2,5;1,45;1,2;PROPN;X;X
aeronáutica;aeronaut;1,25;1,4;2,2;1,15;1;ADJ;F;S
aeronave;aeronav;1,2;1,45;2,05;1,3;1,11;PROPN;X;X
aeroplano;aeroplan;1,1;1,7;1,65;1,15;1,2;NOUN;M;S
aeropuerto;aeropuert;2,2;1,7;3,27;1,13;1,17;NOUN;M;S
afable;afabl;1,23;1;3,22;1,12;1,21;ADJ;X;S
afamado;afam;1,55;1,55;2,5;1,4;1,65;ADJ;M;S
afán;afan;1,35;1,58;2,65;1,84;1,45;NOUN;M;S
afasia;afasi;3,86;3,19;1,13;1,81;1,54;VERB;X;S
afección;afeccion;2,71;2,33;1,6;1,74;2,05;NOUN;F;S
afecta;afect;2,15;2,3;1,85;1,55;1,68;VERB;X;S
afectación;afect;2,47;1,95;1,85;2,42;1,75;NOUN;F;S
afectar;afect;3;2,2;1,33;1,57;1,1;VERB;X;X
afectiva;afect;1,4;1,1;3,5;1,55;1,05;ADJ;F;S
afecto;afect;1,5;1,43;4,37;1,2;1,03;NOUN;M;S
afectuosa;afectu;1,4;1,3;3,35;1,1;1,15;ADJ;F;S
afectuoso;afectu;1,33;1,27;3,83;1,07;1,13;ADJ;M;S
afeitar;afeit;1,4;1,25;1,85;1,25;1,5;VERB;X;X
aferrar;aferr;1,6;1,65;1,85;1,8;1,65;VERB;X;X
afgano;afgan;2,11;2,33;1,94;1,71;1,25;NOUN;M;S
afianzar;afianz;1,31;1,52;1,9;1,17;1,14;VERB;X;X
afición;aficion;1,17;1,31;4,07;1,21;1,14;NOUN;F;S
aficionado;aficion;1,45;1,15;3,2;1,25;1,53;NOUN;M;S
afiliación;afili;1,35;1,42;2,35;1,4;1,11;NOUN;F;S
afiliar;afili;1,2;1,25;1,8;1,35;1,75;VERB;X;X
afín;afin;1,16;1,3;2,45;1,25;1,25;NOUN;M;S
afinación;afin;1,2;1;1,82;1,1;1,05;NOUN;F;S
afinar;afin;1,05;1;2,6;1,3;1,15;VERB;X;X
afincado;afinc;1,26;1,21;1,53;1,21;1,31;ADJ;M;S
afinidad;afin;1,05;1,35;3,15;1,15;1,1;NOUN;F;S
afirmación;afirm;1,15;1,15;2,6;1,35;1,35;NOUN;F;S
afirmar;afirm;1,55;1,35;3,4;1,15;1,05;VERB;X;X
afirmativo;afirm;1,2;1,25;2,95;1,05;1;ADJ;M;S
aflicción;afliccion;3,35;2,27;1,42;2,17;1,93;NOUN;F;S
afligido;aflig;4,1;2,55;1,1;1,97;1,48;ADJ;M;S
aflojar;afloj;1,25;1,1;1,9;1,55;1,4;VERB;X;X
afluencia;afluenci;1,26;1,63;2,2;1,42;1,37;NOUN;F;S
afluente;afluent;1,16;1,25;2,15;1,05;1;ADV;X;X
aforo;afor;1,2;1,65;1,75;1,55;1,4;NOUN;M;S
afortunado;afortun;1,13;1,07;4,1;1,33;1,07;ADV;X;X
áfrica;afric;2,6;1,3;2,05;1,4;1,25;PROPN;X;X
afroamericano;afroamerican;1,05;1,05;2,65;1,05;1,2;ADJ;M;S
afrontar;afront;1,8;2,05;3,4;1,8;1,2;VERB;X;X
afuera;afuer;1,35;1,45;2,1;1,15;1,25;VERB;X;S
agachar;agach;1,2;1,1;1,55;1,2;1,05;VERB;X;X
agarrado;agarr;2;2,35;1,8;2,5;2,45;ADJ;M;S
agarrar;agarr;1,3;2,2;2,1;1,7;1,55;VERB;X;X
agarre;agarr;1,42;1,7;1,3;1,65;1,2;VERB;X;S
ágata;agat;1,19;1,15;2,13;1,13;1,18;NOUN;F;S
agencia;agenci;1,28;1,28;1,55;1,34;1,31;NOUN;F;S
agenda;agend;1,15;1,35;1,9;1,4;1,35;NOUN;F;S
agente;agent;1,37;2,07;1,43;1,87;1,77;ADV;X;X
ágil;agil;1;1,1;3,4;1,1;1,05;ADJ;X;S
agilidad;agil;1,13;1,13;3,07;1,1;1,03;NOUN;F;S
agilizar;agiliz;1,1;1,25;2,45;1,25;1,1;VERB;X;X
agitación;agit;1,4;2,15;2,15;2,1;1,75;NOUN;F;S
agitar;agit;1,3;1,7;1,9;1,6;1,25;VERB;X;X
aglomeración;aglomer;1,43;2,47;1,77;2,47;2,1;NOUN;F;S
aglomerado;aglomer;1,9;1,85;1,7;2;2,16;ADJ;M;S
aglutinar;aglutin;1,58;1,68;1,3;2,05;1,95;VERB;X;X
agobiado;agobi;2,57;2,3;1,07;2,77;1,57;ADJ;M;S
agonía;agon;3,6;3,07;1,07;2,2;2,03;NOUN;F;S
agonizante;agoniz;4,15;3,7;1,05;2,4;2,6;ADV;X;X
agonizar;agoniz;4,1;4,17;1;3,03;1,72;VERB;X;X
agosto;agost;1,2;1,2;3,35;1,3;1,2;NOUN;X;X
agotamiento;agot;2,65;2,1;1,05;2,15;2,3;NOUN;M;S
agotar;agot;2,25;1,65;1,4;2,25;1,55;VERB;X;X
agradable;agrad;1,1;1;4,4;1;1;ADJ;X;S
agradar;agrad;1,13;1,3;4,43;1,07;1,1;VERB;X;X
agradecer;agradec;1,05;1,15;3,85;1,05;1;VERB;X;X
agradecido;agradec;1,1;1,07;4,3;1,03;1,03;ADJ;M;S
agradecimiento;agradec;1,25;1,1;4;1,1;1;NOUN;M;S
agrado;agrad;1;1,15;4,45;1,05;1;NOUN;M;S
