Word;lexema;tristeza;alegria;miedo;ira;asco;tipoPalabra
abstinente;abstinent;1,89;1,7;1,48;1,67;1,48;ADV
abstracción;abstraccion;1,55;1,35;1,95;1,55;1,4;NOUN
abstracto;abstract;1,15;1,6;2,85;1,2;1,3;NOUN
absurdo;absurd;1,83;1,57;1,63;2,17;1,23;PROPN
abuela;abuel;2,3;1,67;4,33;1,13;1,1;PROPN
abuelo;abuel;2,6;1,2;4,6;1,07;1,1;NOUN
abundancia;abund;1,37;1,73;3,67;1,2;1,2;NOUN
abundante;abund;1,3;1,3;3;1,5;1,4;ADJ
abundar;abund;1,25;1,25;2,85;1,45;1,33;VERB
aburrido;aburr;2,9;1,17;1,03;1,4;1,33;ADJ
aburrimiento;aburr;3,05;1,95;1,1;2,05;2,35;NOUN
aburrir;aburr;2,45;1,8;1,05;2,65;2;VERB
abusar;abus;4,2;3,5;1,1;4,2;3,85;VERB
abusivo;abus;3,5;3,35;1;4,05;3,45;ADJ
abuso;abus;4,2;4,07;1,17;4,37;4,03;NOUN
acabar;acab;2,85;2,2;2,16;1,35;1,15;VERB
academia;academi;1,5;1,3;1,6;1,45;1,4;PROPN
académico;academ;1,45;1,55;2,25;1,45;1,35;NOUN
acallar;acall;1,41;1,63;1,63;2,13;1,72;VERB
acampar;acamp;1,2;1,9;3,3;1,35;1,3;VERB
acantilado;acantil;1,85;2,85;1,85;1,35;1,3;ADJ
acariciar;acarici;1,43;1,27;4,47;1,1;1,13;VERB
ácaro;acar;1,79;2;1;2,63;3,84;NOUN
acarrear;acarr;2,05;1,7;1,2;2;1,2;VERB
acaso;acas;1,1;1,24;1,22;1,24;1,25;ADV
acatamiento;acat;1,63;2,11;1,39;2;2,05;NOUN
acatar;acat;2,14;2,28;1,41;1,97;1,59;VERB
acceder;acced;1,3;1,42;3,05;1,35;1,05;VERB
accesibilidad;accesibil;1,5;1,2;3,05;1,4;1,4;NOUN
accesible;acces;1,15;1;2,8;1,35;1,15;ADJ
acceso;acces;1,35;1,3;2,85;1,05;1,2;NOUN
accesorio;accesori;1,1;1,05;2,4;1,05;1,1;NOUN
accidental;accidental;2,85;2,55;1,4;1,95;1,45;ADJ
accidente;accident;4,17;3,83;1,03;3,13;1,8;NOUN
acción;accion;1,57;2,27;2,8;1,73;1,4;NOUN
accionar;accion;1,1;1,35;2,3;1,45;1,15;VERB
accionarial;accionarial;1,14;1,36;1,25;1,25;1,36;ADJ
acciones;accion;1,65;1,6;2,6;1,65;1,15;NOUN
accionista;accion;1,11;1,55;1,94;1,5;1,55;ADJ
acebo;aceb;1,27;1,07;1,75;1,31;1,14;PROPN
acechar;acech;2,2;2,58;1,65;2,21;1,68;VERB
acecho;acech;2,05;2,33;1,25;2,37;1,89;NOUN
aceite;aceit;1,2;1,05;2,2;1,35;1,65;NOUN
aceleración;aceler;1,4;1,8;3,15;1,65;1,15;NOUN
acelerador;aceler;1,23;1,9;1,9;1,37;1,07;ADV
acelerar;aceler;1,35;2,42;2,75;1,85;1,35;VERB
acento;acent;1,27;1,27;2,67;1,47;1,27;NOUN
acentuación;acentu;1,4;1,3;2,1;1,53;1,47;NOUN
acentuar;acentu;1,1;1,65;1,85;1,3;1,3;VERB
acepción;acepcion;1,56;1,18;1,65;1,19;1,25;NOUN
aceptable;acept;1,5;1;2,5;1,3;1;ADJ
aceptación;acept;1,33;1,37;3,77;1,23;1,2;NOUN
aceptar;acept;1,25;1,35;2,95;1,05;1,2;VERB
acepto;acept;1,25;1,45;2,7;1,25;1,1;PROPN
acequia;acequi;1,13;1,41;1,88;1;1,67;ADV
acera;acer;1,17;1,33;1,37;1,17;1,33;PROPN
acercamiento;acerc;1,2;1,45;2,85;1,45;1,6;NOUN
acercar;acerc;1,21;1,25;2,35;1,2;1,2;VERB
acero;acer;1,35;1,5;1,55;1,45;1,3;NOUN
acertada;acert;1,2;1,15;3,45;1,1;1;ADJ
acertar;acert;1;1,1;4,15;1,05;1,1;VERB
acertijo;acertij;1,25;1,35;2,68;1,15;1,05;PROPN
achacar;achac;2,22;1,94;1,39;2,58;1,94;VERB
acidez;acidez;1,57;1,53;1,17;1,63;2,77;NOUN
ácido;acid;1,63;2,47;1,17;1,83;2,2;NOUN
acierto;aciert;1,03;1,17;4,07;1,1;1,03;NOUN
aclamación;aclam;1,35;1,7;2,74;1,5;1,4;NOUN
aclamar;aclam;1,35;1,55;3,58;1,58;1,32;VERB
aclaración;aclar;1,25;1,25;2,5;1,1;1,05;NOUN
aclarar;aclar;1,3;1;2,35;1,2;1,1;VERB
acné;acne;2,42;1,85;1,05;2,7;3,05;NOUN
acné;acne;2,23;1,8;1,17;2,47;3,5;NOUN
acogedor;acogedor;1,2;1,13;4,07;1,1;1,1;NOUN
acogedora;acogedor;1,26;1,23;4,33;1,13;1,16;NOUN
acoger;acog;1,4;1,55;3,2;1,15;1,05;VERB
acogida;acog;1,65;1,21;3,15;1,05;1;NOUN
acometer;acomet;1,75;1,63;1,79;2,2;1,61;VERB
acometida;acomet;1,76;1,78;1,28;1,53;1,19;ADJ
acomodar;acomod;1,1;1;3,45;1,15;1,15;VERB
acomodo;acomod;1,35;1,37;1,72;1,39;1,42;NOUN
acompañamiento;acompañ;1,5;1,35;3,4;1,3;1,1;NOUN
acompañante;acompañ;1,1;1;3,15;1,3;1,15;NOUN
acompañar;acompañ;1,05;1,1;3,5;1,2;1,15;VERB
acondicionado;acondicion;1,1;1,15;2,1;1,3;1,25;NOUN
acondicionamiento;acondicion;1,3;1,35;2,2;1,35;1,4;NOUN
aconsejable;aconsej;1,15;1,2;3,05;1,15;1,25;ADJ
aconsejar;aconsej;1,6;1,35;3,2;1,35;1;VERB
acontecer;acontec;1,2;1,55;2,61;1,05;1;VERB
acontecimiento;acontec;1,57;1,63;2,5;1,37;1,2;NOUN
acoplamiento;acopl;1,5;2;1,65;2,3;1,85;NOUN
acorazado;acoraz;1,6;2;2;1,5;1,4;ADJ
acordar;acord;1,1;1,4;2,7;1,1;1,1;VERB
acorde;acord;1,35;1,11;2,32;1,2;1,2;ADV
acordeón;acordeon;1,3;1;2,6;1,15;1,05;PROPN
acortar;acort;2;1,6;2,2;1,65;1,35;VERB
acosar;acos;3,2;4,07;1,13;4,03;3,57;VERB
acoso;acos;3,7;3,93;1,13;3,9;4,07;NOUN
acostar;acost;1,25;1,25;3,45;1,3;1,3;VERB
acostumbrar;acostumbr;1,95;1,4;2,05;1,55;1,4;VERB
acre;acre;1,25;1,17;1;1,25;1,42;PROPN
acrecentar;acrecent;1,26;1,26;2,33;1,47;1,18;VERB
acreditación;acredit;1,1;1;1,85;1,45;1,3;NOUN
acreditar;acredit;1,25;1,4;2,05;1,1;1,05;VERB
acreedor;acreedor;1,67;1,35;1,33;1,72;1,13;NOUN
acrílico;acril;1,32;1,05;2,35;1,15;1,32;ADJ
acritud;acritud;2,29;2;1,23;1,56;1,87;NOUN
acrónimo;acronim;1,15;1;1,32;1,27;1,06;PROPN
acta;acta;1,25;1,84;2,05;1,45;1,7;ADJ
actitud;actitud;1,1;1,3;3,5;1,3;1,32;NOUN
activa;activ;1;1,1;3,5;1,15;1,1;ADJ
activación;activ;1,15;1,2;3,05;1,15;1,05;NOUN
activar;activ;1,13;1,4;2,53;1,33;1,1;VERB
actividad;activ;1,1;1,2;2,55;1,05;1,25;NOUN
activismo;activ;1,25;1,68;3;1,55;1,35;NOUN
activista;activ;1,6;1,55;2,65;1,55;1,7;NOUN
acto;acto;1,17;1,43;2,03;1,27;1,13;NOUN
actor;actor;1,4;1,15;3,5;1,05;1,15;NOUN
actora;actor;1,13;1,13;2,39;1,41;1,26;NOUN
actriz;actriz;1,37;1,1;2,53;1,23;1,27;NOUN
actuación;actuacion;1,3;1,85;3,05;1,5;1,1;NOUN
actual;actual;1,7;1,2;2;1,3;1,1;ADJ
actualidad;actual;1,55;1,35;2,85;1,95;1,7;NOUN
actualización;actualiz;1,2;1,3;2,85;1,75;1,35;NOUN
actualizar;actualiz;1,2;1,4;2,8;1,45;1,2;VERB
actuar;actu;1,43;2;3;1,6;1,37;VERB
acuarela;acuarel;1,9;1,17;2,93;1,17;1,2;PROPN
acuática;acuat;1,1;1,35;2,55;1,15;1,25;VERB
acuático;acuat;1,1;1,83;3,1;1,07;1,27;ADJ
acuchillar;acuchill;3,43;4;1,13;3,9;3,4;VERB
acudir;acud;1,25;1,3;2,2;1,1;1,1;VERB
acueducto;acueduct;1;1,05;2,5;1;1,1;NOUN
acuerdo;acuerd;1;1,47;3,3;1,1;1,1;NOUN
acuicultura;acuicultur;1,43;1,5;2,06;1,24;1,15;NOUN
acumulación;acumul;1,8;2,3;1,4;2,05;1,85;NOUN
acumular;acumul;1,74;1,65;2,1;1,9;1,75;VERB
acuñado;acuñ;1,28;1,17;1,41;1,29;1,33;ADJ
acuñar;acuñ;1,25;1,17;1,79;1,68;1,33;VERB
acurrucado;acurruc;1,21;1,2;3,7;1,15;1,1;ADJ
acurrucarse;acurruc;1,83;1,6;3,9;1,07;1,07;PROPN
acusación;acus;3,25;2,65;1,2;2,7;2,25;NOUN
acusador;acus;2,84;2,85;1;3,7;3,1;NOUN
acusar;acus;3,13;3,13;1,19;3,52;2,55;VERB
acuse;acus;2,35;2,58;1,4;3,05;2;PROPN
acústica;acust;1,3;1,25;2,5;1,15;1,25;PROPN
adaptabilidad;adapt;1,25;1,2;2,75;1,35;1,15;NOUN
adaptación;adapt;1,35;1,35;3,25;1,6;1,15;NOUN
adaptar;adapt;1,45;1,45;2,35;1,35;1,35;VERB
adecuar;adecu;1,05;1,1;2,25;1,2;1,15;VERB
adelantar;adelant;1,1;1,95;2,8;1,9;1,3;VERB
adelante;adel;1,1;1,15;2,55;1,05;1;ADV
adelanto;adelant;1,25;1,6;2,65;1,2;1,1;NOUN
ademán;ademan;1,36;2;1,45;1,68;1,36;PROPN
además;ademas;1,2;1,2;1,7;1,15;1,15;ADV
adentrar;adentr;1,25;2;2,06;1,33;1,35;VERB
adentro;adentr;1,35;1,6;1,7;1,3;1,2;ADV
adherencia;adherent;1,15;1,3;1,74;1,74;1,6;NOUN
adherir;adher;1,3;1,35;1,9;1,35;1,4;VERB
adhesión;adhesion;1,21;1,2;1,75;1,5;1,4;NOUN
adicción;adiccion;3,23;3,57;1,1;2,5;2,9;NOUN
adición;adicion;2;2,75;1,89;2,1;2,4;NOUN
adicional;adicional;1,15;1,35;1,85;1,5;1,15;ADJ
adicto;adict;3,6;2,97;1,3;2,33;2,23;PROPN
adiestramiento;adiestr;2,15;1,35;2,45;1,65;1,85;NOUN
adinerado;adiner;1,4;1,4;3;1,87;1,73;ADJ
adiós;adios;4,17;3,67;1,33;2,33;1,43;INTJ
aditivo;adit;2,4;2,05;1,85;1,84;2,35;ADJ
adivina;adivin;1,25;1,25;3,1;1,3;1,3;NOUN
adivinación;adivin;1,3;1,75;2,1;1,5;1,65;NOUN
adivinar;adivin;1,05;1,5;2,45;1,55;1,1;VERB
adivino;adivin;1,45;1,6;1,95;2;1,4;NOUN
adjetivo;adjet;1,3;1;1,4;1,55;1,1;NOUN
adjudicación;adjud;1,35;2;2,05;1,8;1,4;NOUN
adjudicar;adjudic;1,5;1,65;2,2;1,3;1,5;VERB
adjunta;adjunt;1,1;1,1;1,8;1,1;1,2;PROPN
adjunto;adjunt;1,05;1,1;1,85;1,35;1,15;ADJ
administración;administr;1,2;1,1;1,55;1,55;1,35;NOUN
administrador;administr;1,7;1,25;2,25;1,2;1,5;NOUN
administrar;administr;1,15;1,2;2,25;1,5;1,25;VERB
administrativa;administr;1,4;1,25;1,5;1,3;1,75;ADJ
admirable;admir;1,05;1,15;4;1;1,3;ADJ
admiración;admir;1,37;1,43;3,67;1,3;1,2;NOUN
admirado;admir;1,3;1,57;3,77;1,23;1,27;ADJ
admirador;admir;1,1;1,6;3,65;1,1;1,35;NOUN
admirar;admir;1,23;1,4;3,93;1,2;1,17;VERB
admisible;admis;1,5;1,3;2,75;1,3;1,2;ADJ
admisión;admision;1,3;1,45;3,85;1,2;1,2;NOUN
admitir;admit;1,55;1,75;2,9;1,3;1,15;VERB
adobe;adob;1,21;1,47;1,72;1,31;2;PROPN
adolecer;adolec;3,42;2,15;1,13;2,07;1,87;VERB
adolescencia;adolescent;1,8;2,05;3,45;2,1;1,5;NOUN
adolescente;adolescent;1,97;1,7;2,83;1,83;1,4;ADV
adopción;adopcion;1,77;1,77;3,53;1,17;1,03;NOUN
adoptar;adopt;1,55;1,35;3,74;1;1,05;VERB
adoptivo;adopt;1,8;1,45;2,4;1,3;1,55;ADJ
adorable;ador;1,03;1,03;4,43;1,03;1,03;ADJ
adoración;ador;1,5;1,6;2,97;1,6;1,43;NOUN
adorar;ador;1,25;1,3;2,65;1,6;1,5;VERB
adornado;adorn;1,3;1,05;2,65;1,2;1,25;ADJ
adornar;adorn;1,3;1;3,15;1;1;VERB
adorno;adorn;1,25;1,25;2,8;1,2;1;NOUN
adosada;ados;1,25;1,25;1,72;1,22;1,21;ADJ
adosado;ados;1,2;1,15;1,84;1,25;1,26;NOUN
adquirir;adquir;1,15;1,5;2,85;1,4;1,05;VERB
adquisición;adquisicion;1,15;1,65;3,3;1,1;1,4;NOUN
adquisitivo;adquisit;1,15;1,45;2,5;1,37;1,5;ADJ
adrenalina;adrenalin;1,4;1,9;3,5;1,95;1;NOUN
adscripción;adscripcion;1,22;1,22;1,44;1,33;1,19;NOUN
aduana;aduan;1,8;2;1,7;2,15;1,84;PROPN
aduanera;aduaner;2,05;2,3;1,32;1,71;1,89;VERB
aducir;aduc;1,4;1,33;1,4;1,71;1,64;VERB
adulación;adul;1,67;1,73;1,6;1,94;1,71;NOUN
adulterado;adulter;2;2,68;1,11;2,75;2,89;ADJ
adulterio;adulteri;3,4;2,6;1,23;3,47;2,97;ADJ
adulto;adult;1,89;2,04;2,11;1,57;1,36;ADJ
advenimiento;adven;1,43;1,47;1,53;1,18;1,07;NOUN
adverbio;adverbi;1,11;1,35;1,5;1,25;1,3;NOUN
adversario;adversari;1,77;2,63;2,03;2,5;1,9;NOUN
adversidad;advers;2,2;2,56;1,6;2,45;1,63;NOUN
adverso;advers;2;2,05;1,35;1,89;1,8;ADJ
advertencia;advertent;2;2,35;1,3;2,3;1,8;NOUN
advertir;advert;1,83;2,77;1,7;2,03;1,47;VERB
adyacente;adyacent;1,65;1,33;2;1,17;1,21;ADV
aérea;aere;1,21;1,4;1,95;1,2;1,15;PROPN
aéreo;aere;1,55;1,75;2,8;1,1;1;ADJ
aeróbic;aerobic;1,05;1,25;2,6;1,25;1,35;VERB
aeródromo;aerodrom;1,05;1,06;1,65;1,6;1,3;VERB
aeroespacial;aeroespacial;1,05;1,45;2,65;1,2;1,05;ADJ
aerolínea;aeroline;1,35;1,7;2,5;1,45;1,2;PROPN
aeronáutica;aeronaut;1,25;1,4;2,2;1,15;1;ADJ
aeronave;aeronav;1,2;1,45;2,05;1,3;1,11;PROPN
aeroplano;aeroplan;1,1;1,7;1,65;1,15;1,2;NOUN
aeropuerto;aeropuert;2,2;1,7;3,27;1,13;1,17;NOUN
afable;afabl;1,23;1;3,22;1,12;1,21;ADJ
afamado;afam;1,55;1,55;2,5;1,4;1,65;ADJ
afán;afan;1,35;1,58;2,65;1,84;1,45;NOUN
afasia;afasi;3,86;3,19;1,13;1,81;1,54;VERB
afección;afeccion;2,71;2,33;1,6;1,74;2,05;NOUN
afecta;afect;2,15;2,3;1,85;1,55;1,68;VERB
afectación;afect;2,47;1,95;1,85;2,42;1,75;NOUN
afectar;afect;3;2,2;1,33;1,57;1,1;VERB
afectiva;afect;1,4;1,1;3,5;1,55;1,05;ADJ
afecto;afect;1,5;1,43;4,37;1,2;1,03;NOUN
afectuosa;afectu;1,4;1,3;3,35;1,1;1,15;ADJ
afectuoso;afectu;1,33;1,27;3,83;1,07;1,13;ADJ
afeitar;afeit;1,4;1,25;1,85;1,25;1,5;VERB
aferrar;aferr;1,6;1,65;1,85;1,8;1,65;VERB
afgano;afgan;2,11;2,33;1,94;1,71;1,25;NOUN
afianzar;afianz;1,31;1,52;1,9;1,17;1,14;VERB
afición;aficion;1,17;1,31;4,07;1,21;1,14;NOUN
aficionado;aficion;1,45;1,15;3,2;1,25;1,53;NOUN
afiliación;afili;1,35;1,42;2,35;1,4;1,11;NOUN
afiliar;afili;1,2;1,25;1,8;1,35;1,75;VERB
afín;afin;1,16;1,3;2,45;1,25;1,25;NOUN
afinación;afin;1,2;1;1,82;1,1;1,05;NOUN
afinar;afin;1,05;1;2,6;1,3;1,15;VERB
afincado;afinc;1,26;1,21;1,53;1,21;1,31;ADJ
afinidad;afin;1,05;1,35;3,15;1,15;1,1;NOUN
afirmación;afirm;1,15;1,15;2,6;1,35;1,35;NOUN
afirmar;afirm;1,55;1,35;3,4;1,15;1,05;VERB
afirmativo;afirm;1,2;1,25;2,95;1,05;1;ADJ
aflicción;afliccion;3,35;2,27;1,42;2,17;1,93;NOUN
afligido;aflig;4,1;2,55;1,1;1,97;1,48;ADJ
aflojar;afloj;1,25;1,1;1,9;1,55;1,4;VERB
afluencia;afluenci;1,26;1,63;2,2;1,42;1,37;NOUN
afluente;afluent;1,16;1,25;2,15;1,05;1;ADV
aforo;afor;1,2;1,65;1,75;1,55;1,4;NOUN
afortunado;afortun;1,13;1,07;4,1;1,33;1,07;ADV
áfrica;afric;2,6;1,3;2,05;1,4;1,25;PROPN
afroamericano;afroamerican;1,05;1,05;2,65;1,05;1,2;ADJ
afrontar;afront;1,8;2,05;3,4;1,8;1,2;VERB
afuera;afuer;1,35;1,45;2,1;1,15;1,25;VERB
agachar;agach;1,2;1,1;1,55;1,2;1,05;VERB
agarrado;agarr;2;2,35;1,8;2,5;2,45;ADJ
agarrar;agarr;1,3;2,2;2,1;1,7;1,55;VERB
agarre;agarr;1,42;1,7;1,3;1,65;1,2;VERB
ágata;agat;1,19;1,15;2,13;1,13;1,18;NOUN
agencia;agenci;1,28;1,28;1,55;1,34;1,31;NOUN
agenda;agend;1,15;1,35;1,9;1,4;1,35;NOUN
agente;agent;1,37;2,07;1,43;1,87;1,77;ADV
ágil;agil;1;1,1;3,4;1,1;1,05;ADJ
agilidad;agil;1,13;1,13;3,07;1,1;1,03;NOUN
agilizar;agiliz;1,1;1,25;2,45;1,25;1,1;VERB
agitación;agit;1,4;2,15;2,15;2,1;1,75;NOUN
agitar;agit;1,3;1,7;1,9;1,6;1,25;VERB
aglomeración;aglomer;1,43;2,47;1,77;2,47;2,1;NOUN
aglomerado;aglomer;1,9;1,85;1,7;2;2,16;ADJ
aglutinar;aglutin;1,58;1,68;1,3;2,05;1,95;VERB
agobiado;agobi;2,57;2,3;1,07;2,77;1,57;ADJ
agonía;agon;3,6;3,07;1,07;2,2;2,03;NOUN
agonizante;agoniz;4,15;3,7;1,05;2,4;2,6;ADV
agonizar;agoniz;4,1;4,17;1;3,03;1,72;VERB
agosto;agost;1,2;1,2;3,35;1,3;1,2;NOUN
agotamiento;agot;2,65;2,1;1,05;2,15;2,3;NOUN
agotar;agot;2,25;1,65;1,4;2,25;1,55;VERB
agradable;agrad;1,1;1;4,4;1;1;ADJ
agradar;agrad;1,13;1,3;4,43;1,07;1,1;VERB
agradecer;agradec;1,05;1,15;3,85;1,05;1;VERB
agradecido;agradec;1,1;1,07;4,3;1,03;1,03;ADJ
agradecimiento;agradec;1,25;1,1;4;1,1;1;NOUN
agrado;agrad;1;1,15;4,45;1,05;1;NOUN
agravamiento;agrav;2,53;2,84;1,26;2,75;1,5;NOUN
agravar;agrav;2,2;2,67;1,1;3,11;1,84;VERB
agravio;agravi;1,69;2,13;1,06;2,5;2;NOUN
agredir;agred;3,37;3,53;1;3,97;3,2;VERB
agregación;agreg;1,1;1,05;2,15;1,1;1,3;NOUN
agregado;agreg;1,05;1,15;2,25;1,3;1,11;NOUN
agregar;agreg;1,2;1,4;2,65;1,05;1,35;VERB
agresión;agresion;3,48;3,93;1,1;4,31;3,41;NOUN
agresividad;agres;3,43;3,87;1,3;4,4;3,2;NOUN
agresivo;agres;2,87;3,4;1,23;3,9;2,23;ADJ
agresor;agresor;3,95;3,9;1;4,5;3,6;NOUN
agria;agri;2;1,65;1;2,45;3,25;ADJ
agrícola;agricol;1,2;1;1,65;1,2;1,5;ADJ
agricultor;agricultor;1,5;1,3;2,17;1,2;1,2;NOUN
agricultura;agricultur;1,15;1,21;2,65;1,15;1,1;PROPN
agropecuaria;agropecuari;1,29;1;1,38;1,28;1,54;ADJ
agrupación;agrup;1,35;1,65;2,85;1,5;1,55;NOUN
agrupar;agrup;1,25;1,2;2;1,35;1,15;VERB
agua;agu;1,37;1,87;3;1,17;1,27;NOUN
aguacero;aguacer;1,42;1,63;2,11;1,5;1,5;ADJ
aguafuerte;aguafuert;1,21;2;1,56;1,68;2,82;PROPN
aguamarina;aguamarin;1,05;1,1;3;1;1,05;NOUN
aguanieve;aguaniev;1,3;1,1;2,27;1,03;1;VERB
aguantar;aguant;2,05;2;1,7;2,7;1,5;VERB
aguante;aguant;1,7;1,42;2;1,85;1,55;ADV
aguardar;aguard;1,55;1,3;1,5;1,35;1,6;VERB
aguardiente;aguardient;1,37;1,5;2,17;1,27;2,43;NOUN
agudeza;agudez;1,15;1,25;2,58;1,45;1,05;NOUN
agudo;agud;1,4;1,73;1,53;1,57;1,37;PROPN
aguijón;aguijon;1,64;3,75;1,04;2,39;2,75;NOUN
águila;aguil;1,13;2,27;2,07;1,3;1,37;PROPN
aguilucho;aguiluch;1,6;1,78;2,11;1,26;1,72;ADV
aguja;aguj;1,37;2,17;1,13;1,5;1,6;PROPN
agujero;agujer;1,45;2,25;2,05;1,6;1,95;NOUN
ahijada;ahij;1,1;1;2,78;1;1,1;ADJ
ahijado;ahij;1,4;1;2,89;1,2;1,05;ADJ
ahínco;ahinc;1,4;1,21;2,4;1,88;1,15;NOUN
ahogar;ahog;3,6;4,37;1;3,2;1,97;VERB
ahogarse;ahog;3,43;4,57;1,03;2,23;1,47;ADV
ahogo;ahog;3,45;3,6;1,1;2,85;2,55;NOUN
ahondar;ahond;1,56;1,71;1,82;1,69;1,2;VERB
ahora;ahor;1,35;1,4;2,4;1,25;1,25;ADV
ahorcar;ahorc;3,66;3,97;1,03;3,83;3,03;VERB
ahorra;ahorr;1,3;1,3;2,75;1,35;1,35;PROPN
ahorrar;ahorr;1,37;1,23;2,53;1,17;1,07;VERB
ahorro;ahorr;1,75;1,5;3,6;1,3;1,35;NOUN
ahuyentar;ahuyent;1,6;2;1,47;2,25;1,65;VERB
